n_neighbors,weights,algorithm,score,f1_score,recall,precision
1,uniform,auto,0.36666666666666664,0.37669473938514186,0.39366666666666666,
1,uniform,ball_tree,0.36666666666666664,0.37669473938514186,0.39366666666666666,
1,uniform,kd_tree,0.36666666666666664,0.37669473938514186,0.39366666666666666,
1,uniform,brute,0.36666666666666664,0.37669473938514186,0.39366666666666666,
1,distance,auto,0.36666666666666664,0.37669473938514186,0.39366666666666666,
1,distance,ball_tree,0.36666666666666664,0.37669473938514186,0.39366666666666666,
1,distance,kd_tree,0.36666666666666664,0.37669473938514186,0.39366666666666666,
1,distance,brute,0.36666666666666664,0.37669473938514186,0.39366666666666666,
2,uniform,auto,0.3466666666666667,0.34089647228777664,0.3612936507936508,
2,uniform,ball_tree,0.3466666666666667,0.34089647228777664,0.3612936507936508,
2,uniform,kd_tree,0.3466666666666667,0.34089647228777664,0.3612936507936508,
2,uniform,brute,0.3466666666666667,0.34089647228777664,0.3612936507936508,
2,distance,auto,0.36666666666666664,0.37669473938514186,0.39366666666666666,
2,distance,ball_tree,0.36666666666666664,0.37669473938514186,0.39366666666666666,
2,distance,kd_tree,0.36666666666666664,0.37669473938514186,0.39366666666666666,
2,distance,brute,0.36666666666666664,0.37669473938514186,0.39366666666666666,
3,uniform,auto,0.3466666666666667,0.3476037276767549,0.368547619047619,
3,uniform,ball_tree,0.3466666666666667,0.3476037276767549,0.368547619047619,
3,uniform,kd_tree,0.3466666666666667,0.3476037276767549,0.368547619047619,
3,uniform,brute,0.3466666666666667,0.3476037276767549,0.368547619047619,
3,distance,auto,0.38666666666666666,0.38973412207212177,0.40993650793650793,
3,distance,ball_tree,0.38666666666666666,0.38973412207212177,0.40993650793650793,
3,distance,kd_tree,0.38666666666666666,0.38973412207212177,0.40993650793650793,
3,distance,brute,0.38666666666666666,0.38973412207212177,0.40993650793650793,
4,uniform,auto,0.37666666666666665,0.3910112423246902,0.3986507936507936,0.5015907181959814
4,uniform,ball_tree,0.37666666666666665,0.3910112423246902,0.3986507936507936,0.5015907181959814
4,uniform,kd_tree,0.37666666666666665,0.3910112423246902,0.3986507936507936,0.5015907181959814
4,uniform,brute,0.37666666666666665,0.3910112423246902,0.3986507936507936,0.5015907181959814
4,distance,auto,0.4,0.3992978674232544,0.42093650793650794,
4,distance,ball_tree,0.4,0.3992978674232544,0.42093650793650794,
4,distance,kd_tree,0.4,0.3992978674232544,0.42093650793650794,
4,distance,brute,0.4,0.3992978674232544,0.42093650793650794,
5,uniform,auto,0.36,0.3700661130138094,0.37820634920634916,
5,uniform,ball_tree,0.36,0.3700661130138094,0.37820634920634916,
5,uniform,kd_tree,0.36,0.3700661130138094,0.37820634920634916,
5,uniform,brute,0.36,0.3700661130138094,0.37820634920634916,
5,distance,auto,0.3933333333333333,0.39120422542713557,0.41368253968253965,
5,distance,ball_tree,0.3933333333333333,0.39120422542713557,0.41368253968253965,
5,distance,kd_tree,0.3933333333333333,0.39120422542713557,0.41368253968253965,
5,distance,brute,0.3933333333333333,0.39120422542713557,0.41368253968253965,
6,uniform,auto,0.38,0.3915512120729512,0.4026507936507937,0.5032307692307693
6,uniform,ball_tree,0.38,0.3915512120729512,0.4026507936507937,0.5032307692307693
6,uniform,kd_tree,0.38,0.3915512120729512,0.4026507936507937,0.5032307692307693
6,uniform,brute,0.38,0.3915512120729512,0.4026507936507937,0.5032307692307693
6,distance,auto,0.4033333333333333,0.40577272583087626,0.42446825396825405,
6,distance,ball_tree,0.4033333333333333,0.40577272583087626,0.42446825396825405,
6,distance,kd_tree,0.4033333333333333,0.40577272583087626,0.42446825396825405,
6,distance,brute,0.4033333333333333,0.40577272583087626,0.42446825396825405,
7,uniform,auto,0.36333333333333334,0.37836445718037376,0.389563492063492,0.49672209597872374
7,uniform,ball_tree,0.36333333333333334,0.37836445718037376,0.389563492063492,0.49672209597872374
7,uniform,kd_tree,0.36333333333333334,0.37836445718037376,0.389563492063492,0.49672209597872374
7,uniform,brute,0.36333333333333334,0.37836445718037376,0.389563492063492,0.49672209597872374
7,distance,auto,0.3933333333333333,0.3962311562893068,0.4159444444444445,
7,distance,ball_tree,0.3933333333333333,0.3962311562893068,0.4159444444444445,
7,distance,kd_tree,0.3933333333333333,0.3962311562893068,0.4159444444444445,
7,distance,brute,0.3933333333333333,0.3962311562893068,0.4159444444444445,
8,uniform,auto,0.3466666666666667,0.35631696418626013,0.37015873015873013,
8,uniform,ball_tree,0.3466666666666667,0.35631696418626013,0.37015873015873013,
8,uniform,kd_tree,0.3466666666666667,0.35631696418626013,0.37015873015873013,
