n_neighbors,weights,algorithm,train_time,inference_time,score,accuracy,f1,recall,precision
1,uniform,auto,0.019014835357666016,0.22549200057983398,0.36666666666666664,0.36666666666666664,"[0.46153846 0.30769231 0.18181818 1.         0.         0.5
 0.15384615 0.4        0.         0.52631579 0.33333333 0.47058824
 0.23529412 0.16666667 0.2        0.46153846 0.2        0.4
 0.4        0.25       0.5        0.85714286 0.30769231 0.4
 0.72727273 0.22222222 0.42857143 0.22222222 0.16666667 0.11764706
 0.66666667 0.6        0.31578947 1.         0.14285714 0.15384615
 0.85714286 0.36363636 0.         0.28571429 0.46153846 0.
 0.         0.47058824 0.54545455 1.         0.42105263 0.28571429
 0.33333333 0.33333333]","[0.375      0.66666667 0.125      1.         0.         0.4
 0.2        0.25       0.         0.625      0.25       0.5
 0.2        0.16666667 0.2        0.42857143 0.22222222 0.6
 0.25       1.         0.85714286 1.         0.25       0.4
 0.57142857 0.14285714 0.42857143 0.14285714 0.125      0.16666667
 0.57142857 0.42857143 0.5        1.         0.25       0.2
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.44444444 0.42857143 1.         0.66666667 0.25
 0.25       0.4       ]","[0.6        0.2        0.33333333 1.         0.         0.66666667
 0.125      1.         0.         0.45454545 0.5        0.44444444
 0.28571429 0.16666667 0.2        0.5        0.18181818 0.3
 1.         0.14285714 0.35294118 0.75       0.4        0.4
 1.         0.5        0.42857143 0.5        0.25       0.09090909
 0.8        1.         0.23076923 1.         0.1        0.125
 1.         0.28571429 0.         1.         0.75       0.
 0.         0.5        0.75       1.         0.30769231 0.33333333
 0.5        0.28571429]"
1,uniform,ball_tree,0.04546761512756348,0.34841036796569824,0.36666666666666664,0.36666666666666664,"[0.46153846 0.30769231 0.18181818 1.         0.         0.5
 0.15384615 0.4        0.         0.52631579 0.33333333 0.47058824
 0.23529412 0.16666667 0.2        0.46153846 0.2        0.4
 0.4        0.25       0.5        0.85714286 0.30769231 0.4
 0.72727273 0.22222222 0.42857143 0.22222222 0.16666667 0.11764706
 0.66666667 0.6        0.31578947 1.         0.14285714 0.15384615
 0.85714286 0.36363636 0.         0.28571429 0.46153846 0.
 0.         0.47058824 0.54545455 1.         0.42105263 0.28571429
 0.33333333 0.33333333]","[0.375      0.66666667 0.125      1.         0.         0.4
 0.2        0.25       0.         0.625      0.25       0.5
 0.2        0.16666667 0.2        0.42857143 0.22222222 0.6
 0.25       1.         0.85714286 1.         0.25       0.4
 0.57142857 0.14285714 0.42857143 0.14285714 0.125      0.16666667
 0.57142857 0.42857143 0.5        1.         0.25       0.2
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.44444444 0.42857143 1.         0.66666667 0.25
 0.25       0.4       ]","[0.6        0.2        0.33333333 1.         0.         0.66666667
 0.125      1.         0.         0.45454545 0.5        0.44444444
 0.28571429 0.16666667 0.2        0.5        0.18181818 0.3
 1.         0.14285714 0.35294118 0.75       0.4        0.4
 1.         0.5        0.42857143 0.5        0.25       0.09090909
 0.8        1.         0.23076923 1.         0.1        0.125
 1.         0.28571429 0.         1.         0.75       0.
 0.         0.5        0.75       1.         0.30769231 0.33333333
 0.5        0.28571429]"
1,uniform,kd_tree,0.09455347061157227,0.6336348056793213,0.36666666666666664,0.36666666666666664,"[0.46153846 0.30769231 0.18181818 1.         0.         0.5
 0.15384615 0.4        0.         0.52631579 0.33333333 0.47058824
 0.23529412 0.16666667 0.2        0.46153846 0.2        0.4
 0.4        0.25       0.5        0.85714286 0.30769231 0.4
 0.72727273 0.22222222 0.42857143 0.22222222 0.16666667 0.11764706
 0.66666667 0.6        0.31578947 1.         0.14285714 0.15384615
 0.85714286 0.36363636 0.         0.28571429 0.46153846 0.
 0.         0.47058824 0.54545455 1.         0.42105263 0.28571429
 0.33333333 0.33333333]","[0.375      0.66666667 0.125      1.         0.         0.4
 0.2        0.25       0.         0.625      0.25       0.5
 0.2        0.16666667 0.2        0.42857143 0.22222222 0.6
 0.25       1.         0.85714286 1.         0.25       0.4
 0.57142857 0.14285714 0.42857143 0.14285714 0.125      0.16666667
 0.57142857 0.42857143 0.5        1.         0.25       0.2
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.44444444 0.42857143 1.         0.66666667 0.25
 0.25       0.4       ]","[0.6        0.2        0.33333333 1.         0.         0.66666667
 0.125      1.         0.         0.45454545 0.5        0.44444444
 0.28571429 0.16666667 0.2        0.5        0.18181818 0.3
 1.         0.14285714 0.35294118 0.75       0.4        0.4
 1.         0.5        0.42857143 0.5        0.25       0.09090909
 0.8        1.         0.23076923 1.         0.1        0.125
 1.         0.28571429 0.         1.         0.75       0.
 0.         0.5        0.75       1.         0.30769231 0.33333333
 0.5        0.28571429]"
1,uniform,brute,0.0018358230590820312,0.18777680397033691,0.36666666666666664,0.36666666666666664,"[0.46153846 0.30769231 0.18181818 1.         0.         0.5
 0.15384615 0.4        0.         0.52631579 0.33333333 0.47058824
 0.23529412 0.16666667 0.2        0.46153846 0.2        0.4
 0.4        0.25       0.5        0.85714286 0.30769231 0.4
 0.72727273 0.22222222 0.42857143 0.22222222 0.16666667 0.11764706
 0.66666667 0.6        0.31578947 1.         0.14285714 0.15384615
 0.85714286 0.36363636 0.         0.28571429 0.46153846 0.
 0.         0.47058824 0.54545455 1.         0.42105263 0.28571429
 0.33333333 0.33333333]","[0.375      0.66666667 0.125      1.         0.         0.4
 0.2        0.25       0.         0.625      0.25       0.5
 0.2        0.16666667 0.2        0.42857143 0.22222222 0.6
 0.25       1.         0.85714286 1.         0.25       0.4
 0.57142857 0.14285714 0.42857143 0.14285714 0.125      0.16666667
 0.57142857 0.42857143 0.5        1.         0.25       0.2
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.44444444 0.42857143 1.         0.66666667 0.25
 0.25       0.4       ]","[0.6        0.2        0.33333333 1.         0.         0.66666667
 0.125      1.         0.         0.45454545 0.5        0.44444444
 0.28571429 0.16666667 0.2        0.5        0.18181818 0.3
 1.         0.14285714 0.35294118 0.75       0.4        0.4
 1.         0.5        0.42857143 0.5        0.25       0.09090909
 0.8        1.         0.23076923 1.         0.1        0.125
 1.         0.28571429 0.         1.         0.75       0.
 0.         0.5        0.75       1.         0.30769231 0.33333333
 0.5        0.28571429]"
1,distance,auto,0.10602164268493652,0.4354119300842285,0.36666666666666664,0.36666666666666664,"[0.46153846 0.30769231 0.18181818 1.         0.         0.5
 0.15384615 0.4        0.         0.52631579 0.33333333 0.47058824
 0.23529412 0.16666667 0.2        0.46153846 0.2        0.4
 0.4        0.25       0.5        0.85714286 0.30769231 0.4
 0.72727273 0.22222222 0.42857143 0.22222222 0.16666667 0.11764706
 0.66666667 0.6        0.31578947 1.         0.14285714 0.15384615
 0.85714286 0.36363636 0.         0.28571429 0.46153846 0.
 0.         0.47058824 0.54545455 1.         0.42105263 0.28571429
 0.33333333 0.33333333]","[0.375      0.66666667 0.125      1.         0.         0.4
 0.2        0.25       0.         0.625      0.25       0.5
 0.2        0.16666667 0.2        0.42857143 0.22222222 0.6
 0.25       1.         0.85714286 1.         0.25       0.4
 0.57142857 0.14285714 0.42857143 0.14285714 0.125      0.16666667
 0.57142857 0.42857143 0.5        1.         0.25       0.2
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.44444444 0.42857143 1.         0.66666667 0.25
 0.25       0.4       ]","[0.6        0.2        0.33333333 1.         0.         0.66666667
 0.125      1.         0.         0.45454545 0.5        0.44444444
 0.28571429 0.16666667 0.2        0.5        0.18181818 0.3
 1.         0.14285714 0.35294118 0.75       0.4        0.4
 1.         0.5        0.42857143 0.5        0.25       0.09090909
 0.8        1.         0.23076923 1.         0.1        0.125
 1.         0.28571429 0.         1.         0.75       0.
 0.         0.5        0.75       1.         0.30769231 0.33333333
 0.5        0.28571429]"
1,distance,ball_tree,0.04112505912780762,0.3726820945739746,0.36666666666666664,0.36666666666666664,"[0.46153846 0.30769231 0.18181818 1.         0.         0.5
 0.15384615 0.4        0.         0.52631579 0.33333333 0.47058824
 0.23529412 0.16666667 0.2        0.46153846 0.2        0.4
 0.4        0.25       0.5        0.85714286 0.30769231 0.4
 0.72727273 0.22222222 0.42857143 0.22222222 0.16666667 0.11764706
 0.66666667 0.6        0.31578947 1.         0.14285714 0.15384615
 0.85714286 0.36363636 0.         0.28571429 0.46153846 0.
 0.         0.47058824 0.54545455 1.         0.42105263 0.28571429
 0.33333333 0.33333333]","[0.375      0.66666667 0.125      1.         0.         0.4
 0.2        0.25       0.         0.625      0.25       0.5
 0.2        0.16666667 0.2        0.42857143 0.22222222 0.6
 0.25       1.         0.85714286 1.         0.25       0.4
 0.57142857 0.14285714 0.42857143 0.14285714 0.125      0.16666667
 0.57142857 0.42857143 0.5        1.         0.25       0.2
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.44444444 0.42857143 1.         0.66666667 0.25
 0.25       0.4       ]","[0.6        0.2        0.33333333 1.         0.         0.66666667
 0.125      1.         0.         0.45454545 0.5        0.44444444
 0.28571429 0.16666667 0.2        0.5        0.18181818 0.3
 1.         0.14285714 0.35294118 0.75       0.4        0.4
 1.         0.5        0.42857143 0.5        0.25       0.09090909
 0.8        1.         0.23076923 1.         0.1        0.125
 1.         0.28571429 0.         1.         0.75       0.
 0.         0.5        0.75       1.         0.30769231 0.33333333
 0.5        0.28571429]"
1,distance,kd_tree,0.05549907684326172,0.4778764247894287,0.36666666666666664,0.36666666666666664,"[0.46153846 0.30769231 0.18181818 1.         0.         0.5
 0.15384615 0.4        0.         0.52631579 0.33333333 0.47058824
 0.23529412 0.16666667 0.2        0.46153846 0.2        0.4
 0.4        0.25       0.5        0.85714286 0.30769231 0.4
 0.72727273 0.22222222 0.42857143 0.22222222 0.16666667 0.11764706
 0.66666667 0.6        0.31578947 1.         0.14285714 0.15384615
 0.85714286 0.36363636 0.         0.28571429 0.46153846 0.
 0.         0.47058824 0.54545455 1.         0.42105263 0.28571429
 0.33333333 0.33333333]","[0.375      0.66666667 0.125      1.         0.         0.4
 0.2        0.25       0.         0.625      0.25       0.5
 0.2        0.16666667 0.2        0.42857143 0.22222222 0.6
 0.25       1.         0.85714286 1.         0.25       0.4
 0.57142857 0.14285714 0.42857143 0.14285714 0.125      0.16666667
 0.57142857 0.42857143 0.5        1.         0.25       0.2
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.44444444 0.42857143 1.         0.66666667 0.25
 0.25       0.4       ]","[0.6        0.2        0.33333333 1.         0.         0.66666667
 0.125      1.         0.         0.45454545 0.5        0.44444444
 0.28571429 0.16666667 0.2        0.5        0.18181818 0.3
 1.         0.14285714 0.35294118 0.75       0.4        0.4
 1.         0.5        0.42857143 0.5        0.25       0.09090909
 0.8        1.         0.23076923 1.         0.1        0.125
 1.         0.28571429 0.         1.         0.75       0.
 0.         0.5        0.75       1.         0.30769231 0.33333333
 0.5        0.28571429]"
1,distance,brute,0.01329350471496582,0.07040643692016602,0.36666666666666664,0.36666666666666664,"[0.46153846 0.30769231 0.18181818 1.         0.         0.5
 0.15384615 0.4        0.         0.52631579 0.33333333 0.47058824
 0.23529412 0.16666667 0.2        0.46153846 0.2        0.4
 0.4        0.25       0.5        0.85714286 0.30769231 0.4
 0.72727273 0.22222222 0.42857143 0.22222222 0.16666667 0.11764706
 0.66666667 0.6        0.31578947 1.         0.14285714 0.15384615
 0.85714286 0.36363636 0.         0.28571429 0.46153846 0.
 0.         0.47058824 0.54545455 1.         0.42105263 0.28571429
 0.33333333 0.33333333]","[0.375      0.66666667 0.125      1.         0.         0.4
 0.2        0.25       0.         0.625      0.25       0.5
 0.2        0.16666667 0.2        0.42857143 0.22222222 0.6
 0.25       1.         0.85714286 1.         0.25       0.4
 0.57142857 0.14285714 0.42857143 0.14285714 0.125      0.16666667
 0.57142857 0.42857143 0.5        1.         0.25       0.2
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.44444444 0.42857143 1.         0.66666667 0.25
 0.25       0.4       ]","[0.6        0.2        0.33333333 1.         0.         0.66666667
 0.125      1.         0.         0.45454545 0.5        0.44444444
 0.28571429 0.16666667 0.2        0.5        0.18181818 0.3
 1.         0.14285714 0.35294118 0.75       0.4        0.4
 1.         0.5        0.42857143 0.5        0.25       0.09090909
 0.8        1.         0.23076923 1.         0.1        0.125
 1.         0.28571429 0.         1.         0.75       0.
 0.         0.5        0.75       1.         0.30769231 0.33333333
 0.5        0.28571429]"
2,uniform,auto,0.05278754234313965,0.6150949001312256,0.3466666666666667,0.3466666666666667,"[0.375      0.27777778 0.22222222 1.         0.         0.6
 0.33333333 0.33333333 0.         0.57142857 0.28571429 0.5
 0.3        0.18181818 0.         0.42857143 0.2962963  0.16666667
 0.4        0.17391304 0.33333333 0.85714286 0.30769231 0.22222222
 0.72727273 0.22222222 0.54545455 0.22222222 0.30769231 0.28571429
 0.46153846 0.72727273 0.16666667 1.         0.         0.
 0.85714286 0.5        0.         0.28571429 0.5        0.
 0.         0.375      0.25       1.         0.44444444 0.
 0.         0.        ]","[0.375      0.83333333 0.25       1.         0.         0.6
 0.6        0.25       0.         0.75       0.25       0.75
 0.3        0.16666667 0.         0.42857143 0.44444444 0.2
 0.25       1.         0.57142857 1.         0.25       0.2
 0.57142857 0.14285714 0.42857143 0.14285714 0.25       0.33333333
 0.42857143 0.57142857 0.16666667 1.         0.         0.
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.33333333 0.14285714 1.         0.33333333 0.
 0.         0.        ]","[0.375      0.16666667 0.2        1.         0.         0.6
 0.23076923 0.5        0.         0.46153846 0.33333333 0.375
 0.3        0.2        0.         0.42857143 0.22222222 0.14285714
 1.         0.0952381  0.23529412 0.75       0.4        0.25
 1.         0.5        0.75       0.5        0.4        0.25
 0.5        1.         0.16666667 1.         0.         0.
 1.         0.5        0.         1.         1.         0.
 0.         0.42857143 1.         1.         0.66666667 0.
 0.         0.        ]"
2,uniform,ball_tree,0.03127098083496094,0.46883082389831543,0.3466666666666667,0.3466666666666667,"[0.375      0.27777778 0.22222222 1.         0.         0.6
 0.33333333 0.33333333 0.         0.57142857 0.28571429 0.5
 0.3        0.18181818 0.         0.42857143 0.2962963  0.16666667
 0.4        0.17391304 0.33333333 0.85714286 0.30769231 0.22222222
 0.72727273 0.22222222 0.54545455 0.22222222 0.30769231 0.28571429
 0.46153846 0.72727273 0.16666667 1.         0.         0.
 0.85714286 0.5        0.         0.28571429 0.5        0.
 0.         0.375      0.25       1.         0.44444444 0.
 0.         0.        ]","[0.375      0.83333333 0.25       1.         0.         0.6
 0.6        0.25       0.         0.75       0.25       0.75
 0.3        0.16666667 0.         0.42857143 0.44444444 0.2
 0.25       1.         0.57142857 1.         0.25       0.2
 0.57142857 0.14285714 0.42857143 0.14285714 0.25       0.33333333
 0.42857143 0.57142857 0.16666667 1.         0.         0.
 0.75       0.5        0.         0.16666667 0.33333333 0.
 0.         0.33333333 0.14285714 1.         0.33333333 0.
 0.         0.        ]","[0.375      0.16666667 0.2        1.         0.         0.6
 0.23076923 0.5        0.         0.46153846 0.33333333 0.375
 0.3        0.2        0.         0.42857143 0.22222222 0.14285714
 1.         0.0952381  0.23529412 0.75       0.4        0.25
 1.         0.5        0.75       0.5        0.4        0.25
 0.5        1.         0.16666667 1.         0.         0.
 1.         0.5        0.         1.         1.         0.
 0.         0.42857143 1.         1.         0.66666667 0.
 0.         0.        ]"
