Model,Feature_Selector,k,Scaler,Score,Trainingstime,Fittime
Knn,PCA,600,minmax,0.04,0.024743318557739258,0.024932861328125
Knn,PCA,600,quantil,0.043333333333333335,0.018311738967895508,0.0186769962310791
Knn,PCA,750,standard,0.02666666666666667,0.02241826057434082,0.02478790283203125
Knn,PCA,750,minmax,0.043333333333333335,0.02301931381225586,0.023276090621948242
Knn,PCA,750,quantil,0.04,0.022819995880126953,0.021934032440185547
MLP,kBest,10,standard,0.16666666666666666,3.981590270996094e-05,2.654130458831787
MLP,kBest,10,minmax,0.13,7.557868957519531e-05,2.9577620029449463
MLP,kBest,10,quantil,0.13,4.5299530029296875e-05,3.693265914916992
MLP,kBest,30,standard,0.3933333333333333,3.743171691894531e-05,2.681903839111328
MLP,kBest,30,minmax,0.30666666666666664,4.267692565917969e-05,2.8916752338409424
MLP,kBest,30,quantil,0.37,4.649162292480469e-05,4.257976770401001
MLP,kBest,60,standard,0.49,4.2438507080078125e-05,1.8726837635040283
MLP,kBest,60,minmax,0.37666666666666665,4.410743713378906e-05,2.0734965801239014
MLP,kBest,60,quantil,0.4633333333333333,3.933906555175781e-05,1.8285744190216064
MLP,kBest,90,standard,0.5866666666666667,4.76837158203125e-05,2.5991227626800537
MLP,kBest,90,minmax,0.49333333333333335,4.00543212890625e-05,3.0523786544799805
MLP,kBest,90,quantil,0.5733333333333334,5.8650970458984375e-05,3.7402727603912354
MLP,kBest,100,standard,0.5166666666666667,4.1484832763671875e-05,3.785696029663086
MLP,kBest,100,minmax,0.51,4.0531158447265625e-05,2.680293321609497
MLP,kBest,100,quantil,0.6066666666666667,4.0531158447265625e-05,2.295034885406494
MLP,kBest,120,standard,0.5133333333333333,4.267692565917969e-05,2.80562162399292
MLP,kBest,120,minmax,0.5466666666666666,4.220008850097656e-05,2.5410778522491455
MLP,kBest,120,quantil,0.52,3.886222839355469e-05,2.866217851638794
MLP,kBest,140,standard,0.53,4.3392181396484375e-05,2.6812996864318848
MLP,kBest,140,minmax,0.5266666666666666,6.29425048828125e-05,3.235250234603882
MLP,kBest,140,quantil,0.5166666666666667,4.4345855712890625e-05,3.7035512924194336
MLP,kBest,200,standard,0.5033333333333333,4.00543212890625e-05,3.17175555229187
MLP,kBest,200,minmax,0.54,5.030632019042969e-05,4.15943455696106
MLP,kBest,200,quantil,0.5933333333333334,8.893013000488281e-05,5.448011636734009
MLP,kBest,300,standard,0.5866666666666667,5.0067901611328125e-05,6.409485578536987
MLP,kBest,300,minmax,0.63,5.221366882324219e-05,4.2762227058410645
MLP,kBest,300,quantil,0.6066666666666667,4.982948303222656e-05,4.520938873291016
MLP,kBest,400,standard,0.5966666666666667,5.125999450683594e-05,4.823235511779785
MLP,kBest,400,minmax,0.6466666666666666,5.340576171875e-05,4.6432013511657715
MLP,kBest,400,quantil,0.6233333333333333,5.078315734863281e-05,5.04253625869751
MLP,kBest,500,standard,0.56,5.125999450683594e-05,3.8273401260375977
MLP,kBest,500,minmax,0.6666666666666666,4.673004150390625e-05,5.396268606185913
MLP,kBest,500,quantil,0.6633333333333333,5.2928924560546875e-05,5.308030128479004
MLP,kBest,600,standard,0.5833333333333334,5.53131103515625e-05,4.0136964321136475
MLP,kBest,600,minmax,0.6166666666666667,4.76837158203125e-05,6.041523218154907
MLP,kBest,600,quantil,0.62,5.4836273193359375e-05,5.731140851974487
MLP,kBest,750,standard,0.5766666666666667,7.987022399902344e-05,4.574995756149292
MLP,kBest,750,minmax,0.69,4.673004150390625e-05,6.5977911949157715
MLP,kBest,750,quantil,0.6433333333333333,5.173683166503906e-05,6.1006858348846436
MLP,PCA,10,standard,0.19,9.34600830078125e-05,2.383528232574463
MLP,PCA,10,minmax,0.13333333333333333,9.369850158691406e-05,2.209944009780884
MLP,PCA,10,quantil,0.15666666666666668,9.72747802734375e-05,2.207732677459717
MLP,PCA,30,standard,0.30333333333333334,9.1552734375e-05,2.521038293838501
MLP,PCA,30,minmax,0.2833333333333333,9.083747863769531e-05,3.2384238243103027
MLP,PCA,30,quantil,0.3433333333333333,8.797645568847656e-05,3.3492634296417236
MLP,PCA,60,standard,0.30666666666666664,0.00013327598571777344,2.70965576171875
MLP,PCA,60,minmax,0.30666666666666664,7.534027099609375e-05,2.609485149383545
MLP,PCA,60,quantil,0.3433333333333333,4.7206878662109375e-05,2.485053300857544
MLP,PCA,90,standard,0.3,9.465217590332031e-05,2.8605170249938965
MLP,PCA,90,minmax,0.27,9.775161743164062e-05,2.8965961933135986
MLP,PCA,90,quantil,0.36666666666666664,5.340576171875e-05,2.911769151687622
