n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
5,1,4,1.2159347534179688e-05,65.59986305236816,5,0.8966806030358921,0.011507621714248233,81,21263,6379,14884
5,2,1,9.059906005859375e-06,44.4339280128479,5,0.8966806030358921,0.011507621714248233,81,21263,6379,14884
5,2,4,8.344650268554688e-06,65.5040967464447,5,0.8966806030358921,0.011507621714248233,81,21263,6379,14884
10,1,1,1.5974044799804688e-05,41.89777112007141,5,0.8820424972995574,0.013138000794813571,81,21263,6379,14884
10,1,4,1.0967254638671875e-05,57.89486026763916,5,0.8820424972995574,0.013138000794813571,81,21263,6379,14884
10,2,1,9.059906005859375e-06,37.223268032073975,5,0.8820424972995574,0.013138000794813571,81,21263,6379,14884
10,2,4,8.821487426757812e-06,47.970043897628784,5,0.8820424972995574,0.013138000794813571,81,21263,6379,14884
5,1,1,9.059906005859375e-06,44.86357617378235,6,0.8881030371163545,0.012427185774621104,81,21263,6379,14884
5,1,4,1.0967254638671875e-05,66.60120701789856,6,0.8881030371163545,0.012427185774621104,81,21263,6379,14884
5,2,1,8.821487426757812e-06,44.41201615333557,6,0.8881030371163545,0.012427185774621104,81,21263,6379,14884
5,2,4,1.1920928955078125e-05,66.6596007347107,6,0.8881030371163545,0.012427185774621104,81,21263,6379,14884
10,1,1,1.4781951904296875e-05,42.663654804229736,6,0.876100452215017,0.01376018310091748,81,21263,6379,14884
10,1,4,9.059906005859375e-06,59.423702001571655,6,0.876100452215017,0.01376018310091748,81,21263,6379,14884
10,2,1,1.0967254638671875e-05,38.81752395629883,6,0.876100452215017,0.01376018310091748,81,21263,6379,14884
10,2,4,6.9141387939453125e-06,49.15866684913635,6,0.876100452215017,0.01376018310091748,81,21263,6379,14884
5,1,1,1.1205673217773438e-05,42.84970283508301,7,0.8975894489199229,0.011457888542130057,81,21263,6379,14884
5,1,4,8.344650268554688e-06,64.25717115402222,7,0.8975894489199229,0.011457888542130057,81,21263,6379,14884
5,2,1,9.059906005859375e-06,43.0415620803833,7,0.8975894489199229,0.011457888542130057,81,21263,6379,14884
5,2,4,1.0013580322265625e-05,64.16995906829834,7,0.8975894489199229,0.011457888542130057,81,21263,6379,14884
10,1,1,1.621246337890625e-05,42.530229806900024,7,0.8820212860982911,0.013199684407250554,81,21263,6379,14884
10,1,4,9.059906005859375e-06,58.22546577453613,7,0.8820212860982911,0.013199684407250554,81,21263,6379,14884
10,2,1,1.5020370483398438e-05,37.28211998939514,7,0.8820212860982911,0.013199684407250554,81,21263,6379,14884
10,2,4,1.0967254638671875e-05,47.64477801322937,7,0.8820212860982911,0.013199684407250554,81,21263,6379,14884
