criterion,train_time,inference_time,R2_score,RMSE,D,N,n_test,n_train,MGE,k
mse,0.0037298202514648438,0.00021600723266601562,0.6981696584706072,39.07305194805195,8,1232,616,616,0.006390949747338302,
mse,0.004533052444458008,0.0002949237823486328,0.667342913597347,39.29220779220779,8,1232,616,616,0.006213713194945974,1.0
