alpha,max_iter,train_time,inference_time,R2_score,RMSE,N,D,n_test,n_train,MGE
0.001,1000,0.040132999420166016,2.8371810913085938e-05,0.8755775343854826,16.106947491848896,616,4,616,616,0.0027354850635835574
0.001,10000,0.32279491424560547,3.123283386230469e-05,0.8755619665821143,16.108962801465026,616,4,616,616,0.0027358369476455572
0.001,100000,3.1821248531341553,2.8371810913085938e-05,0.8755619665821143,16.108962801465026,616,4,616,616,0.0027358369476455572
0.001,1000,0.03128457069396973,2.7894973754882812e-05,0.8755775343854826,16.106947491848896,616,4,616,616,0.0027354850635835574
0.001,10000,0.31826233863830566,2.765655517578125e-05,0.8755619665821143,16.108962801465026,616,4,616,616,0.0027358369476455572
0.001,100000,3.1679625511169434,2.86102294921875e-05,0.8755619665821143,16.108962801465026,616,4,616,616,0.0027358369476455572
