epoch,accuracy,efficience,epochtime,inference_time,total_Memory
1,98.45,1.0342676529132941,95.1881263256073,87.9012610912323,67.29296875
2,98.58,0.9754914470415448,101.05675482749939,93.84008526802063,37.88671875
3,98.83,0.9770508298875509,101.15133929252625,93.43273758888245,37.88671875
4,99.0,0.9339113124073817,106.00578308105469,97.96021294593811,43.2109375
5,99.05,0.9655126315099796,102.5879898071289,94.35607361793518,37.85546875
6,98.99,0.9357714357620047,105.78437876701355,96.93901753425598,42.71875
7,99.11,0.9257888742790631,107.05464577674866,98.12516975402832,43.30078125
8,99.13,0.9198857674542468,107.76338052749634,98.18717622756958,43.0234375
9,99.17,0.9234991169180753,107.38505125045776,97.65478134155273,34.17578125
10,99.18,0.9357162914067255,105.99366593360901,96.40963554382324,37.88671875
11,99.17,0.9065825276109175,109.38882780075073,99.4352753162384,43.33203125
12,99.18,0.9046278995411684,109.63623833656311,99.23209881782532,44.296875
13,99.26,0.9121075219570755,108.82488918304443,98.33760356903076,43.25390625
14,99.26,0.8994740432004997,110.35337901115417,99.13042521476746,34.1953125
15,99.24,0.8978454963242221,110.53126668930054,98.9320330619812,30.99609375
16,99.27,0.8960922119419321,110.78100967407227,99.16038346290588,30.859375
17,99.25,0.8799110467009512,112.79549264907837,100.73720240592957,31.10546875
18,99.26,0.8819440512286282,112.54682183265686,100.45332288742065,31.10546875
19,99.27,0.8778774777432821,113.07956123352051,100.09897923469543,36.15625
20,99.28,0.8903256357443574,111.50976228713989,98.78742122650146,31.84375
21,99.27,0.8957641359775312,110.82158350944519,97.96088147163391,31.67578125
22,99.27,0.8900894266668243,111.5281195640564,98.1122875213623,30.9375
23,99.27,0.8912591223856169,111.3817491531372,97.79156064987183,34.9296875
24,99.26,0.883257881080657,112.3794105052948,97.99797129631042,30.58203125
25,99.26,0.8742580608900187,113.5362708568573,99.41951632499695,37.2265625
26,99.26,0.848482357425446,116.98534345626831,102.59530115127563,19.7734375
27,99.25,0.853768977539528,116.24924612045288,101.5095956325531,19.9296875
28,99.26,0.8674460884581804,114.42786049842834,99.36054468154907,27.2578125
29,99.26,0.8462071672152942,117.29988098144531,101.69370222091675,16.92578125
30,99.26,0.8692854364668325,114.18573904037476,98.24575471878052,26.98046875
31,99.26,0.8658726904143162,114.6357901096344,98.45782566070557,35.828125
32,99.26,0.8625305249886218,115.07998514175415,98.8250024318695,37.55078125
33,99.26,0.8542526618072148,116.1951310634613,99.04339480400085,37.39453125
34,99.26,0.8608337737372093,115.30681419372559,98.30288934707642,32.23828125
35,99.26,0.8426752204075207,117.79152584075928,100.12866711616516,32.8359375
36,99.26,0.8681954773035356,114.3290913105011,96.96192598342896,36.9453125
37,99.26,0.8582719455893919,115.65098977088928,97.82675266265869,36.40625
38,99.26,0.8511544387604879,116.618084192276,98.55569911003113,32.71875
39,99.26,0.8488537325922912,116.93416213989258,98.47921991348267,40.01953125
40,99.26,0.8437586959730098,117.6402690410614,98.89950108528137,37.63671875
41,99.26,0.8281237937401575,119.86130666732788,100.05370378494263,41.73046875
42,99.26,0.8331365909359634,119.14012789726257,99.53593015670776,41.8203125
43,99.26,0.8476386334813162,117.10178852081299,97.66074728965759,40.3203125
44,99.26,0.8315335252853929,119.36981129646301,99.22458457946777,41.57421875
45,99.26,0.8394755166455983,118.24049425125122,97.74375033378601,32.484375
46,99.26,0.8190231484031453,121.19315576553345,100.24746108055115,38.1328125
47,99.26,0.8318201837932558,119.32867455482483,98.2353286743164,39.828125
48,99.26,0.8355997268504184,118.78893303871155,96.65765857696533,37.640625
49,99.26,0.8283513266281795,119.82838296890259,98.617746591568,41.34375
50,99.26,0.8324131371588493,119.24367308616638,97.58596801757812,38.1640625
