epoch,accuracy,efficience,epochtime,inference_time,total_Memory
1,98.45,1.0342676529132941,95.1881263256073,87.9012610912323,67.29296875
2,98.58,0.9754914470415448,101.05675482749939,93.84008526802063,37.88671875
3,98.83,0.9770508298875509,101.15133929252625,93.43273758888245,37.88671875
4,99.0,0.9339113124073817,106.00578308105469,97.96021294593811,43.2109375
5,99.05,0.9655126315099796,102.5879898071289,94.35607361793518,37.85546875
6,98.99,0.9357714357620047,105.78437876701355,96.93901753425598,42.71875
7,99.11,0.9257888742790631,107.05464577674866,98.12516975402832,43.30078125
8,99.13,0.9198857674542468,107.76338052749634,98.18717622756958,43.0234375
9,99.17,0.9234991169180753,107.38505125045776,97.65478134155273,34.17578125
10,99.18,0.9357162914067255,105.99366593360901,96.40963554382324,37.88671875
11,99.17,0.9065825276109175,109.38882780075073,99.4352753162384,43.33203125
12,99.18,0.9046278995411684,109.63623833656311,99.23209881782532,44.296875
13,99.26,0.9121075219570755,108.82488918304443,98.33760356903076,43.25390625
14,99.26,0.8994740432004997,110.35337901115417,99.13042521476746,34.1953125
15,99.24,0.8978454963242221,110.53126668930054,98.9320330619812,30.99609375
16,99.27,0.8960922119419321,110.78100967407227,99.16038346290588,30.859375
17,99.25,0.8799110467009512,112.79549264907837,100.73720240592957,31.10546875
18,99.26,0.8819440512286282,112.54682183265686,100.45332288742065,31.10546875
19,99.27,0.8778774777432821,113.07956123352051,100.09897923469543,36.15625
20,99.28,0.8903256357443574,111.50976228713989,98.78742122650146,31.84375
21,99.27,0.8957641359775312,110.82158350944519,97.96088147163391,31.67578125
22,99.27,0.8900894266668243,111.5281195640564,98.1122875213623,30.9375
23,99.27,0.8912591223856169,111.3817491531372,97.79156064987183,34.9296875
24,99.26,0.883257881080657,112.3794105052948,97.99797129631042,30.58203125
25,99.26,0.8742580608900187,113.5362708568573,99.41951632499695,37.2265625
26,99.26,0.848482357425446,116.98534345626831,102.59530115127563,19.7734375
27,99.25,0.853768977539528,116.24924612045288,101.5095956325531,19.9296875
28,99.26,0.8674460884581804,114.42786049842834,99.36054468154907,27.2578125
29,99.26,0.8462071672152942,117.29988098144531,101.69370222091675,16.92578125
30,99.26,0.8692854364668325,114.18573904037476,98.24575471878052,26.98046875
