n_estimators,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
100,0.18399596214294434,0.010000228881835938,1,0.8493829414042349,19.497934253246754,8,1232,616,616,0.003208167290337763
100,0.18399763107299805,0.008999824523925781,2,0.8399271266347642,18.907207629870133,8,1232,616,616,0.002982780431599725
