n_estimators,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
100,0.18599605560302734,0.01000213623046875,1,0.8483260009958882,19.63475909090909,8,1232,616,616,0.0032361212016307345
100,0.1849968433380127,0.009998321533203125,2,0.8392117819576652,18.99170146103896,8,1232,616,616,0.002995187648819811
100,0.18399810791015625,0.01000356674194336,3,0.846855723431228,19.589312012987016,8,1232,616,616,0.0030290109313523533
100,0.18799948692321777,0.009999752044677734,4,0.8485408651997431,20.846229870129868,8,1232,616,616,0.0035179183005873576
100,0.18699979782104492,0.010000228881835938,5,0.8369932252333405,21.684964935064933,8,1232,616,616,0.003461978046275995
100,0.1900014877319336,0.009998798370361328,6,0.8588160586161333,18.60697905844156,8,1232,616,616,0.0030582904395107685
100,0.19100236892700195,0.009999513626098633,7,0.8553511296254259,19.641109902597403,8,1232,616,616,0.00332446010103885
100,0.18400239944458008,0.009000539779663086,8,0.8225387943072512,23.439708116883118,8,1232,616,616,0.003932343851193229
100,0.1869971752166748,0.009002685546875,9,0.8475358592150326,20.83802808441558,8,1232,616,616,0.0035384529750038646
100,0.19399690628051758,0.010001659393310547,10,0.8370388884504772,21.441945292207794,8,1232,616,616,0.00350273582420192
