n_estimators,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
100,0.10799860954284668,0.004999637603759766,1,0.8383148953538385,22.196380476190484,8,420,210,210,0.0036531319265153263
100,0.10700035095214844,0.0059986114501953125,2,0.8513037167163714,22.092086666666667,8,420,210,210,0.003355759291937391
100,0.10800027847290039,0.005000114440917969,3,0.8444909208846393,21.429888095238095,8,420,210,210,0.003806148196366714
100,0.10799956321716309,0.0060007572174072266,4,0.8351538638248519,21.03943571428572,8,420,210,210,0.0034919732372961096
100,0.10699844360351562,0.004997730255126953,5,0.823141455829369,25.016961904761903,8,420,210,210,0.003826747942137758
100,0.10800027847290039,0.006002902984619141,6,0.8126149623117277,21.682195238095236,8,420,210,210,0.003477931839836837
100,0.10699748992919922,0.004998445510864258,7,0.8408545219423625,21.2031,8,420,210,210,0.0036848489215141086
100,0.10700106620788574,0.007001399993896484,8,0.8304765826664814,21.162922857142856,8,420,210,210,0.00333209597588506
100,0.10799598693847656,0.0060024261474609375,9,0.8202550112246196,23.982061428571434,8,420,210,210,0.004077523514069041
100,0.1080007553100586,0.005995988845825195,10,0.8068008625998294,25.724907619047624,8,420,210,210,0.004062516550769652
