n_estimators,max_features,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
100,auto,16.000014781951904,0.47529101371765137,1,0.8339192407136724,660771.7856508023,10,48193,14458,33735
100,sqrt,6.146744966506958,0.47438573837280273,1,0.8524994848535026,586848.1044799025,10,48193,14458,33735
100,log2,6.391040086746216,0.4770345687866211,1,0.8532787049082409,583747.8860729251,10,48193,14458,33735
200,auto,32.41799831390381,0.9804043769836426,1,0.834867551909403,656998.8183013746,10,48193,14458,33735
200,sqrt,12.730682611465454,0.9454197883605957,1,0.853402185943909,583256.6022855489,10,48193,14458,33735
200,log2,12.791144847869873,0.9419732093811035,1,0.8531032329346064,584446.0219066503,10,48193,14458,33735
100,auto,16.15243649482727,0.47769832611083984,2,0.8412544115023789,629270.3723829713,10,48193,14458,33735
100,sqrt,6.366589784622192,0.4805889129638672,2,0.8559676956883655,570946.648830609,10,48193,14458,33735
100,log2,6.346875429153442,0.47060585021972656,2,0.858452958266736,561095.0232014407,10,48193,14458,33735
200,auto,31.75057315826416,0.9530332088470459,2,0.8395133487187248,636171.9766201722,10,48193,14458,33735
200,sqrt,12.413514375686646,0.9395585060119629,2,0.8574167507033654,565202.5686484623,10,48193,14458,33735
200,log2,12.700339317321777,0.950993537902832,2,0.8587751649922908,559817.7899372404,10,48193,14458,33735
100,auto,16.05186939239502,0.4796164035797119,3,0.8372461629692631,647288.1872740489,10,48193,14458,33735
100,sqrt,6.277585029602051,0.4703390598297119,3,0.8526413974162284,586059.8096232467,10,48193,14458,33735
100,log2,6.3067708015441895,0.4719505310058594,3,0.851605738796593,590178.7268959123,10,48193,14458,33735
200,auto,31.907047986984253,0.9582781791687012,3,0.835593157835512,653862.3529963498,10,48193,14458,33735
200,sqrt,12.204264163970947,0.9505336284637451,3,0.8530616137584969,584388.5674613885,10,48193,14458,33735
200,log2,12.65685486793518,0.9494268894195557,3,0.8518030932710995,589393.8285341637,10,48193,14458,33735
100,auto,15.9774808883667,0.4779324531555176,4,0.8356207131874408,651034.3196724581,10,48193,14458,33735
100,sqrt,6.087692975997925,0.4745323657989502,4,0.8553044089733692,573075.8265854056,10,48193,14458,33735
100,log2,6.099185228347778,0.47208523750305176,4,0.8551957642414549,573506.1207574959,10,48193,14458,33735
200,auto,31.803812503814697,1.022773027420044,4,0.8356992470010969,650723.2816521804,10,48193,14458,33735
200,sqrt,13.223869562149048,0.9693841934204102,4,0.8561785625396157,569613.6873869343,10,48193,14458,33735
200,log2,13.058785200119019,0.9444756507873535,4,0.856529311761033,568224.5234285737,10,48193,14458,33735
100,auto,15.989478826522827,0.47756242752075195,5,0.835519287590814,653444.3108392655,10,48193,14458,33735
100,sqrt,6.322102308273315,0.4724464416503906,5,0.8535411063310158,581847.7403096764,10,48193,14458,33735
100,log2,6.290808200836182,0.4734334945678711,5,0.8546357912431436,577498.8071276995,10,48193,14458,33735
200,auto,31.746609210968018,0.9527273178100586,5,0.8369536706990705,647745.8342949612,10,48193,14458,33735
200,sqrt,12.145261287689209,0.9365310668945312,5,0.8556267116301874,573562.1067090045,10,48193,14458,33735
200,log2,12.286070346832275,0.940335750579834,5,0.8556502333684262,573468.6602142269,10,48193,14458,33735
100,auto,15.65658688545227,0.47669029235839844,6,0.826742451068372,683406.0540375985,10,48193,14458,33735
100,sqrt,6.101257801055908,0.4713315963745117,6,0.8480646223830919,599301.7766103748,10,48193,14458,33735
100,log2,6.109402179718018,0.4723374843597412,6,0.8470591487863353,603267.8187680511,10,48193,14458,33735
200,auto,31.657621145248413,0.9601917266845703,6,0.8270767369445049,682087.4795054226,10,48193,14458,33735
200,sqrt,12.512845039367676,0.948420524597168,6,0.850821641291676,588426.8483614128,10,48193,14458,33735
200,log2,12.525689601898193,0.9428937435150146,6,0.8505460054015138,589514.0808497429,10,48193,14458,33735
100,auto,16.10774064064026,0.47763538360595703,7,0.843340962996439,613865.6341460783,10,48193,14458,33735
100,sqrt,6.25683856010437,0.4725222587585449,7,0.8590983381560496,552120.6414546435,10,48193,14458,33735
100,log2,6.276909589767456,0.4754295349121094,7,0.8572274161834524,559451.8157367893,10,48193,14458,33735
200,auto,31.93340539932251,0.955143928527832,7,0.8436317131416713,612726.3349029898,10,48193,14458,33735
200,sqrt,13.10063362121582,0.974937915802002,7,0.8599284105954247,548868.0174494764,10,48193,14458,33735
200,log2,12.833546161651611,0.9614009857177734,7,0.8593824854579202,551007.2153351553,10,48193,14458,33735
100,auto,16.08060312271118,0.47830939292907715,8,0.834108685380182,656637.4014661227,10,48193,14458,33735
100,sqrt,6.20273232460022,0.47234559059143066,8,0.8510169827661629,589710.3264460022,10,48193,14458,33735
100,log2,6.187071323394775,0.4736156463623047,8,0.8531414864812359,581301.0338795546,10,48193,14458,33735
200,auto,32.21680283546448,0.9529757499694824,8,0.8357206449996006,650256.8807125847,10,48193,14458,33735
200,sqrt,12.466237783432007,0.9399704933166504,8,0.8537712408864008,578808.3156976716,10,48193,14458,33735
200,log2,12.225269317626953,0.9447929859161377,8,0.8523422101015875,584464.7604808441,10,48193,14458,33735
100,auto,15.76664113998413,0.4804511070251465,9,0.828155732486332,683710.7118407179,10,48193,14458,33735
100,sqrt,6.302134037017822,0.472991943359375,9,0.8472285280845986,607826.4542861495,10,48193,14458,33735
100,log2,6.3362343311309814,0.4719681739807129,9,0.8479855849224351,604814.379010144,10,48193,14458,33735
200,auto,31.954997777938843,0.9358241558074951,9,0.8284926756215675,682370.1281007142,10,48193,14458,33735
