n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
5,2,600,0.0,0.003999471664428711,1,0.7837658875383293,29.68495238095238,8,420,210,210,0.004965279581379047
5,2,600,0.0,0.00299835205078125,2,0.7848301439861295,31.968190476190475,8,420,210,210,0.005033282649023934
5,2,600,0.0,0.0030012130737304688,3,0.8201430299436137,24.785142857142862,8,420,210,210,0.004267532896343084
5,2,600,0.0,0.0029973983764648438,4,0.8090413885294099,24.372190476190475,8,420,210,210,0.004099872815514531
5,2,600,0.0,0.003999233245849609,5,0.7838240789352399,30.5784761904762,8,420,210,210,0.004796867550014193
5,2,600,0.0,0.0029997825622558594,6,0.7930528470651592,23.94571428571429,8,420,210,210,0.0038953811299453083
5,2,600,0.0,0.004002094268798828,7,0.8109862608765508,25.182476190476194,8,420,210,210,0.004380425762980243
5,2,600,0.0,0.002997159957885742,8,0.7588183846788894,30.108571428571427,8,420,210,210,0.004674670561593086
5,2,600,0.0,0.0029990673065185547,9,0.7725995552980561,30.340380952380958,8,420,210,210,0.00536665505505851
5,2,600,0.0,0.002998828887939453,10,0.7982617894774129,26.86190476190476,8,420,210,210,0.00427734944279297
