n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
5,2,600,0.0,0.023999929428100586,1,0.7850482411336025,27.8262987012987,8,1232,616,616,0.004588841754361017
5,2,600,0.0,0.021998167037963867,2,0.7754517937559907,26.522792207792207,8,1232,616,616,0.004234399978423339
