n_neighbors,weights,algorithm,train_time,inference_time,R2_score,RMSE,D,N,n_test,n_train,MGE
5,uniform,brute,0.0029144287109375,0.031883955001831055,0.7850482411336025,27.8262987012987,4,1232,616,616,0.004588841754361017
5,uniform,kd_tree,0.00171661376953125,0.016687631607055664,0.7850482411336025,27.8262987012987,4,1232,616,616,0.004588841754361017
5,uniform,ball_tree,0.002002716064453125,0.014088869094848633,0.7850482411336025,27.8262987012987,4,1232,616,616,0.004588841754361017
