n_neighbors,weights,algorithm,train_time,inference_time,R2_score,RMSE,D,N,n_test,n_train,MGE,k
5,uniform,brute,0.00047707557678222656,0.02745985984802246,0.7850482411336025,27.8262987012987,8,1232,616,616,0.004588841754361017,
5,uniform,kd_tree,0.006841182708740234,0.009918928146362305,0.7850482411336025,27.8262987012987,8,1232,616,616,0.004588841754361017,
5,uniform,ball_tree,0.0010249614715576172,0.008048057556152344,0.7850482411336025,27.8262987012987,8,1232,616,616,0.004588841754361017,
5,uniform,brute,0.00040793418884277344,0.0063228607177734375,0.7754517937559907,26.522792207792207,8,1232,616,616,0.0042343999784233395,1.0
5,uniform,kd_tree,0.0007207393646240234,0.00816798210144043,0.7754517937559907,26.522792207792207,8,1232,616,616,0.0042343999784233395,1.0
5,uniform,ball_tree,0.0007250308990478516,0.007897138595581055,0.7754517937559907,26.522792207792207,8,1232,616,616,0.0042343999784233395,1.0
