weights,n_neighbors,p,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,5,2,0.02943277359008789,0.1044301986694336,0,0.5405997325975429,0.4720955838364321,10,4999,1500,3499
uniform,5,3,0.024283409118652344,0.9910874366760254,0,0.5395879286954792,0.47313534847691335,10,4999,1500,3499
uniform,10,2,0.022373199462890625,0.11522960662841797,0,0.5471798502620584,0.46533362762751146,10,4999,1500,3499
uniform,10,3,0.023340702056884766,1.0746080875396729,0,0.5315494209694418,0.48139599669019084,10,4999,1500,3499
