weights,n_neighbors,p,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,5,2,7.3909759521484375e-06,3.234736919403076,0,0.6281431779096032,0.3858478323528286,10,11996,3599,8397
uniform,5,3,6.198883056640625e-06,12.379247188568115,0,0.6272388307916438,0.3867862052814133,10,11996,3599,8397
uniform,10,2,5.9604644775390625e-06,3.1956403255462646,0,0.6273900338991456,0.3866293131987385,10,11996,3599,8397
uniform,10,3,6.198883056640625e-06,11.96736478805542,0,0.6246512647387201,0.38947112779265786,10,11996,3599,8397
