weights,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,0.10506725311279297,0.29349446296691895,1,0.6109075314650512,0.39873471147804623,3,9998,3000,6998
uniform,0.09158635139465332,0.29372382164001465,2,0.6084019696155193,0.4019527882467819,3,9998,3000,6998
uniform,0.09328031539916992,0.2989661693572998,3,0.600789474115635,0.4082270649453794,3,9998,3000,6998
uniform,0.09851479530334473,0.2946360111236572,4,0.6223331574263515,0.3901317964293799,3,9998,3000,6998
uniform,0.09052920341491699,0.29656481742858887,5,0.6166493543012486,0.3864617124721903,3,9998,3000,6998
uniform,0.08904194831848145,0.28934144973754883,6,0.5857273006854788,0.42607286095405744,3,9998,3000,6998
uniform,0.09196996688842773,0.2972571849822998,7,0.6293099996109388,0.38465569847373265,3,9998,3000,6998
