alpha,max_iter,train_time,inference_time,R2_score,RMSE,D,N,n_test,n_train,MGE
0.001,1000,0.04413485527038574,3.0517578125e-05,0.8755775343854826,16.106947491848896,4,1232,616,616,0.0027354850635835574
0.001,10000,0.3806896209716797,4.38690185546875e-05,0.8755619665821143,16.108962801465026,4,1232,616,616,0.0027358369476455572
0.001,100000,3.516646385192871,2.9802322387695312e-05,0.8755619665821143,16.108962801465026,4,1232,616,616,0.0027358369476455572
0.001,1000,0.036450862884521484,2.8133392333984375e-05,0.8755775343854826,16.106947491848896,4,1232,616,616,0.0027354850635835574
0.001,10000,0.32805895805358887,2.8133392333984375e-05,0.8755619665821143,16.108962801465026,4,1232,616,616,0.0027358369476455572
0.001,100000,3.2691946029663086,2.9325485229492188e-05,0.8755619665821143,16.108962801465026,4,1232,616,616,0.0027358369476455572
