alpha,max_iter,train_time,inference_time,R2_score,RMSE,D,N,n_test,n_train,MGE
0.001,1000,0.005934238433837891,0.0003921985626220703,0.8760397071460169,16.047117521840484,4,1232,616,616,0.0027258284153007612
0.001,10000,0.006367206573486328,0.0003058910369873047,0.8765739411364133,15.977958959605147,4,1232,616,616,0.002709901698169931
0.001,1000,0.006782054901123047,0.0003070831298828125,0.8764003626980998,16.000429329227078,4,1232,616,616,0.0027154574762202456
0.001,10000,0.0036306381225585938,0.0003173351287841797,0.8763150378613881,16.011474944324643,4,1232,616,616,0.002721029840734589
