n_neighbors,weights,algorithm,score
26,distance,brute,1.7146080090242526
27,uniform,auto,1.79639029892837
27,uniform,ball_tree,1.79639029892837
27,uniform,kd_tree,1.79639029892837
27,uniform,brute,1.79639029892837
27,distance,auto,1.7146080090242526
27,distance,ball_tree,1.7146080090242526
27,distance,kd_tree,1.7146080090242526
27,distance,brute,1.7146080090242526
28,uniform,auto,1.795826283135928
28,uniform,ball_tree,1.795826283135928
28,uniform,kd_tree,1.795826283135928
28,uniform,brute,1.795826283135928
28,distance,auto,1.7140439932318103
28,distance,ball_tree,1.7140439932318103
28,distance,kd_tree,1.7140439932318103
28,distance,brute,1.7140439932318103
29,uniform,auto,1.784545967287084
29,uniform,ball_tree,1.784545967287084
29,uniform,kd_tree,1.784545967287084
29,uniform,brute,1.784545967287084
29,distance,auto,1.7146080090242526
29,distance,ball_tree,1.7146080090242526
29,distance,kd_tree,1.7146080090242526
29,distance,brute,1.7146080090242526
30,uniform,auto,1.820078962210942
30,uniform,ball_tree,1.820078962210942
30,uniform,kd_tree,1.820078962210942
30,uniform,brute,1.820078962210942
30,distance,auto,1.7258883248730963
30,distance,ball_tree,1.7258883248730963
30,distance,kd_tree,1.7258883248730963
30,distance,brute,1.7258883248730963
31,uniform,auto,1.808234630569656
31,uniform,ball_tree,1.808234630569656
31,uniform,kd_tree,1.808234630569656
31,uniform,brute,1.808234630569656
31,distance,auto,1.7140439932318103
31,distance,ball_tree,1.7140439932318103
31,distance,kd_tree,1.7140439932318103
31,distance,brute,1.7140439932318103
32,uniform,auto,1.8195149464184999
32,uniform,ball_tree,1.8195149464184999
32,uniform,kd_tree,1.8195149464184999
32,uniform,brute,1.8195149464184999
32,distance,auto,1.7134799774393683
32,distance,ball_tree,1.7134799774393683
32,distance,kd_tree,1.7134799774393683
32,distance,brute,1.7134799774393683
33,uniform,auto,1.807670614777214
33,uniform,ball_tree,1.807670614777214
33,uniform,kd_tree,1.807670614777214
33,uniform,brute,1.807670614777214
33,distance,auto,1.7253243090806543
33,distance,ball_tree,1.7253243090806543
33,distance,kd_tree,1.7253243090806543
33,distance,brute,1.7253243090806543
34,uniform,auto,1.8313592780597858
34,uniform,ball_tree,1.8313592780597858
34,uniform,kd_tree,1.8313592780597858
34,uniform,brute,1.8313592780597858
34,distance,auto,1.7371686407219402
34,distance,ball_tree,1.7371686407219402
34,distance,kd_tree,1.7371686407219402
34,distance,brute,1.7371686407219402
35,uniform,auto,1.820078962210942
35,uniform,ball_tree,1.820078962210942
35,uniform,kd_tree,1.820078962210942
