criterion,max_features,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
mse,auto,0.21896576881408691,0.005140542984008789,1,0.7517191878101808,0.2572993204168193,10,48193,14458,33735
mse,sqrt,0.07348489761352539,0.00545954704284668,1,0.7031249094873322,0.30765872869463473,10,48193,14458,33735
mse,log2,0.07283878326416016,0.005312681198120117,1,0.7406962705712945,0.26872263214824665,10,48193,14458,33735
mse,auto,0.23435091972351074,0.005761146545410156,2,0.7394625143434002,0.267492685129765,10,48193,14458,33735
mse,sqrt,0.07825779914855957,0.004964351654052734,2,0.7361789391086144,0.2708639173122085,10,48193,14458,33735
mse,log2,0.07493019104003906,0.006169795989990234,2,0.7666144579290488,0.23961590464302177,10,48193,14458,33735
mse,auto,0.20541143417358398,0.004838466644287109,3,0.7278652601291757,0.2829536188893695,10,48193,14458,33735
mse,sqrt,0.08798837661743164,0.0056459903717041016,3,0.7270090262959785,0.2838438928096845,10,48193,14458,33735
mse,log2,0.08277678489685059,0.0048503875732421875,3,0.736166237569863,0.2743226311357428,10,48193,14458,33735
mse,auto,0.21307086944580078,0.00558924674987793,4,0.7554971732951051,0.25149430801886247,10,48193,14458,33735
mse,sqrt,0.08570599555969238,0.004918098449707031,4,0.7776203923119885,0.22873848252275805,10,48193,14458,33735
mse,log2,0.08735203742980957,0.0055389404296875,4,0.7631750543592672,0.24359688036411734,10,48193,14458,33735
mse,auto,0.23537921905517578,0.0053942203521728516,5,0.7558275520764404,0.2558396851371468,10,48193,14458,33735
mse,sqrt,0.08488154411315918,0.0048847198486328125,5,0.7324033011772341,0.28038321175364117,10,48193,14458,33735
mse,log2,0.07541966438293457,0.006109714508056641,5,0.7352119864076192,0.2774403197480041,10,48193,14458,33735
mse,auto,0.23587656021118164,0.005292415618896484,6,0.7693168770799882,0.23848399736656195,10,48193,14458,33735
mse,sqrt,0.08384895324707031,0.006535768508911133,6,0.772059216228651,0.23564892216023783,10,48193,14458,33735
mse,log2,0.07945847511291504,0.0058650970458984375,6,0.7443866874291635,0.26425723646518784,10,48193,14458,33735
mse,auto,0.20891857147216797,0.005270957946777344,7,0.7579234795487484,0.2474349432118417,10,48193,14458,33735
mse,sqrt,0.07873082160949707,0.004786014556884766,7,0.7381039928480724,0.26769313907952874,10,48193,14458,33735
mse,log2,0.08173894882202148,0.004922151565551758,7,0.7417678783623238,0.263948152566737,10,48193,14458,33735
mse,auto,0.23617243766784668,0.0065762996673583984,8,0.7438420971720053,0.26472018809339193,10,48193,14458,33735
mse,sqrt,0.07814455032348633,0.005930900573730469,8,0.7547177860361461,0.2534809705249464,10,48193,14458,33735
mse,log2,0.07645177841186523,0.005709171295166016,8,0.7514984554068488,0.2568079098866208,10,48193,14458,33735
mse,auto,0.21405887603759766,0.0048313140869140625,9,0.751216915543374,0.2596543865687758,10,48193,14458,33735
mse,sqrt,0.08797121047973633,0.005829811096191406,9,0.7538685391236631,0.2568868925662995,10,48193,14458,33735
mse,log2,0.08136534690856934,0.00516200065612793,9,0.714588748713091,0.2978831279248388,10,48193,14458,33735
mse,auto,0.21278810501098633,0.005480289459228516,10,0.7594025002052321,0.24934572793067794,10,48193,14458,33735
mse,sqrt,0.08501076698303223,0.0060923099517822266,10,0.7369512946710399,0.27261326891352144,10,48193,14458,33735
mse,log2,0.0806722640991211,0.0055162906646728516,10,0.7569617458902588,0.25187522911787286,10,48193,14458,33735
