n_estimators,criterion,max_features,train_time,inference_time,score,accuracy,f1,recall,precision
5,gini,log2,0.2500138282775879,0.00704193115234375,-0.6386198547215496,0.9396503102086858,0.6979763839823732,0.657420006803674,0.779304468232412
5,entropy,sqrt,0.3254978656768799,0.004987001419067383,-0.8244552058111381,0.9357021996615905,0.6765841013824885,0.6399830908690693,0.7520401729418122
5,entropy,log2,0.24701166152954102,0.008022069931030273,-0.7651331719128329,0.9345741680767061,0.6640773020083365,0.6278890600924499,0.7447908686992493
6,gini,sqrt,0.3562886714935303,0.004987955093383789,0.1549636803874092,0.9458544839255499,0.7067037950951875,0.6530901686910932,0.8484491357518618
6,gini,log2,0.25379467010498047,0.005983591079711914,0.09200968523002422,0.9435984207557812,0.6910719264008921,0.6403908110379605,0.8322008617832284
6,entropy,sqrt,0.42694616317749023,0.007021427154541016,0.14709443099273609,0.9385222786238014,0.641141768471013,0.5993711604266304,0.8012816623691794
6,entropy,log2,0.30850648880004883,0.00449681282043457,0.2705811138014528,0.9407783417935702,0.6543108778849207,0.608240950113061,0.8281738207189444
7,gini,sqrt,0.46596264839172363,0.008976936340332031,-0.7566585956416465,0.9424703891708968,0.724572037770332,0.6857402997618715,0.7915429917550059
7,gini,log2,0.3380005359649658,0.006018400192260742,-0.8214285714285714,0.9385222786238014,0.6984152745374959,0.6606442478938627,0.7693691804378827
7,entropy,sqrt,0.46398138999938965,0.005018711090087891,-0.3898305084745763,0.9458544839255499,0.7330656796938712,0.6875562803914114,0.8188660951214534
7,entropy,log2,0.3792581558227539,0.005982637405395508,-0.39588377723970947,0.9402143260011281,0.6898098633392751,0.6462339663418246,0.789055238019896
8,gini,sqrt,0.46881914138793945,0.006982564926147461,0.08898305084745763,0.9407783417935702,0.6662902315076229,0.6197296540131672,0.8145933014354066
8,gini,log2,0.3429605960845947,0.007019519805908203,-0.2148910411622276,0.9396503102086858,0.6748901939749353,0.6306130310367599,0.7917411612211147
8,entropy,sqrt,0.6070070266723633,0.007963180541992188,-0.08958837772397095,0.9435984207557812,0.7010722956568654,0.6518795149380665,0.8212985501111228
8,entropy,log2,0.447049617767334,0.006982326507568359,-0.035108958837772396,0.9379582628313593,0.6483715798127822,0.6067276329217778,0.7867858583142895
9,gini,sqrt,0.6020364761352539,0.015997886657714844,-0.1483050847457627,0.9452904681331077,0.7176311231149385,0.6681057771196446,0.8269410391126678
9,gini,log2,0.4344630241394043,0.008019447326660156,0.09624697336561744,0.9475465313028765,0.7234858203661501,0.6693164308726712,0.8519947582993593
9,entropy,sqrt,0.6169791221618652,0.007016420364379883,-0.513317191283293,0.9435984207557812,0.7219434163477825,0.6786864907049807,0.803786487038171
9,entropy,log2,0.5129714012145996,0.007031679153442383,0.21549636803874092,0.9458544839255499,0.7034290493448565,0.6492606007243912,0.8531890714522468
10,gini,sqrt,0.5930087566375732,0.007978439331054688,0.09987893462469734,0.9509306260575296,0.7493602023954022,0.6941098193024233,0.8657642201315963
10,gini,log2,0.451016902923584,0.008975505828857422,-0.08777239709443099,0.9452904681331077,0.7146457649250946,0.6642762091529426,0.8301246607017191
10,entropy,sqrt,0.6515054702758789,0.011538505554199219,0.21368038740920098,0.9441624365482234,0.6889435098432907,0.6368639065095152,0.8443770297827345
10,entropy,log2,0.5259964466094971,0.008023262023925781,0.39951573849878935,0.9481105470953187,0.7125729510276579,0.6543008224441198,0.8802112867039766
11,gini,sqrt,0.7290060520172119,0.009079694747924805,-0.14527845036319612,0.9481105470953187,0.7389976958525345,0.688766934144438,0.8398756980724194
11,gini,log2,0.5729823112487793,0.010970354080200195,-0.3934624697336562,0.9424703891708968,0.7076565450171999,0.6627628919616593,0.8020050125313283
11,entropy,sqrt,0.7699506282806396,0.010972023010253906,0.03753026634382567,0.949238578680203,0.7393703205237094,0.6855426930542493,0.8551449747203922
11,entropy,log2,0.5855026245117188,0.008017301559448242,-0.2711864406779661,0.9435984207557812,0.710411467248566,0.6633682188381727,0.8127010877891834
12,gini,sqrt,0.7190651893615723,0.012004852294921875,0.34019370460048426,0.949238578680203,0.7250348079017384,0.6663948532207392,0.878731980597117
12,gini,log2,0.5729787349700928,0.009973764419555664,0.03631961259079903,0.9481105470953187,0.7307783719548426,0.6772782302443319,0.8504192789193679
12,entropy,sqrt,0.7864389419555664,0.007984399795532227,-0.09140435835351089,0.9419063733784546,0.6870438315833489,0.6394828207231905,0.8115529879765789
12,entropy,log2,0.6329810619354248,0.010015249252319336,0.21307506053268765,0.9435984207557812,0.6840022813146076,0.6327316751045564,0.8412037037037037
13,gini,sqrt,0.8180444240570068,0.009512901306152344,-0.20883777239709442,0.9452904681331077,0.7205510302569428,0.6719353450863467,0.8239805056465753
13,gini,log2,0.5909726619720459,0.013004779815673828,-0.45460048426150124,0.9419063733784546,0.7062988010325113,0.6624602285234027,0.7969069997074312
13,entropy,sqrt,0.8559753894805908,0.009013652801513672,-0.2717917675544794,0.943034404963339,0.7059870457176164,0.6592359874332139,0.8096906012842966
13,entropy,log2,0.6519637107849121,0.010010004043579102,-0.08716707021791767,0.9458544839255499,0.7190730837789661,0.6684084405579013,0.832886695805233
14,gini,sqrt,0.8523240089416504,0.010971784591674805,0.03631961259079903,0.9481105470953187,0.7307783719548426,0.6772782302443319,0.8504192789193679
14,gini,log2,0.6680233478546143,0.01096963882446289,0.035108958837772396,0.9469825155104343,0.7220001868211054,0.6690137674344145,0.8454024046129309
14,entropy,sqrt,0.918004035949707,0.010019540786743164,0.21670702179176757,0.9469825155104343,0.7128141326973712,0.6575250635343085,0.8585434173669467
14,entropy,log2,0.7068798542022705,0.010970830917358398,0.2148910411622276,0.9452904681331077,0.6986558918405574,0.6451283693194325,0.8503623188405798
15,gini,sqrt,0.9350543022155762,0.015979528427124023,-0.5102905569007264,0.9464184997179921,0.742235383238069,0.6993476477297741,0.8169431939296565
15,gini,log2,0.6860051155090332,0.01300358772277832,-0.14709443099273609,0.9464184997179921,0.7263128646846346,0.6763702399295619,0.8323372485435795
15,entropy,sqrt,1.079913854598999,0.011007308959960938,0.03571428571428571,0.9475465313028765,0.7264129498766371,0.6731459988393732,0.8479491303910727
15,entropy,log2,0.8010153770446777,0.010007858276367188,0.15435835351089588,0.9452904681331077,0.7020038986354776,0.6489579372861345,0.845623911781776
16,gini,sqrt,1.043996810913086,0.014989614486694336,0.22033898305084745,0.9503666102650874,0.7397448557474178,0.6823184519640606,0.872592319960741
16,gini,log2,0.7430319786071777,0.01698756217956543,0.03389830508474576,0.9458544839255499,0.7130294038305908,0.6607493046244972,0.840062440469891
16,entropy,sqrt,1.0640599727630615,0.013962745666503906,0.5817191283292978,0.9486745628877609,0.7074092947596154,0.6469443499489724,0.9040191466534621
16,entropy,log2,0.8320479393005371,0.01101374626159668,0.39709443099273606,0.9458544839255499,0.6931242878366098,0.6377718968242851,0.8702043285387822
17,gini,sqrt,1.0692358016967773,0.01200556755065918,0.03753026634382567,0.949238578680203,0.7393703205237094,0.6855426930542493,0.8551449747203922
17,gini,log2,0.8509020805358887,0.015017986297607422,-0.0847457627118644,0.9481105470953187,0.7363176680547293,0.6849373661777359,0.8431495405179615
17,entropy,sqrt,1.162750482559204,0.015052080154418945,0.09806295399515738,0.949238578680203,0.7366310160427807,0.6817131250875472,0.8591855704764353
17,entropy,log2,0.9321470260620117,0.010970592498779297,0.2179176755447942,0.9481105470953187,0.7219904282734078,0.665789526344226,0.8635366388767003
18,gini,sqrt,1.1575140953063965,0.014997482299804688,0.15738498789346247,0.9481105470953187,0.7249865120043162,0.6696190943109279,0.8588263308286591
18,gini,log2,0.8950099945068359,0.014997243881225586,0.09443099273607748,0.9458544839255499,0.7099030555896428,0.6569197366577952,0.8440873189995612
18,entropy,sqrt,1.1810054779052734,0.012994527816772461,0.21549636803874092,0.9458544839255499,0.7034290493448565,0.6492606007243912,0.8531890714522468
18,entropy,log2,0.9689464569091797,0.013994216918945312,0.21670702179176757,0.9469825155104343,0.7128141326973712,0.6575250635343085,0.8585434173669467
19,gini,sqrt,1.2365233898162842,0.013475894927978516,0.038135593220338986,0.9498025944726453,0.7435983679677103,0.689674924459208,0.8574074772345921
19,gini,log2,0.9379618167877197,0.014002799987792969,0.03389830508474576,0.9458544839255499,0.7130294038305908,0.6607493046244972,0.840062440469891
19,entropy,sqrt,1.3450205326080322,0.014982223510742188,0.035108958837772396,0.9469825155104343,0.7220001868211054,0.6690137674344145,0.8454024046129309
19,entropy,log2,1.0645852088928223,0.012966394424438477,0.463680387409201,0.9514946418499718,0.7372554831061054,0.6752646429071698,0.898920543827287
20,gini,sqrt,1.2816736698150635,0.015042304992675781,-0.024818401937046004,0.9475465313028765,0.7292752005122606,0.6769755668060753,0.844191476941039
20,gini,log2,0.9578335285186768,0.014959573745727539,0.03753026634382567,0.949238578680203,0.7393703205237094,0.6855426930542493,0.8551449747203922
