n_neighbors,weights,p,score
20,distance,1,0.13619854721549637
20,distance,2,0.13801452784503632
21,uniform,1,0.5024213075060533
21,uniform,2,0.6864406779661016
21,distance,1,0.13619854721549637
21,distance,2,0.19915254237288135
22,uniform,1,0.6846246973365617
22,uniform,2,0.8062953995157385
22,distance,1,0.13619854721549637
22,distance,2,0.19975786924939468
23,uniform,1,0.62409200968523
23,uniform,2,0.6852300242130751
23,distance,1,0.2584745762711864
23,distance,2,0.19854721549636803
24,uniform,1,0.7451573849878934
24,uniform,2,0.8668280871670703
24,distance,1,0.13619854721549637
24,distance,2,0.19915254237288135
25,uniform,1,0.6852300242130751
25,uniform,2,0.7463680387409201
25,distance,1,0.19854721549636803
25,distance,2,0.25968523002421307
26,uniform,1,0.8680387409200968
26,uniform,2,0.8674334140435835
26,distance,1,0.25786924939467315
26,distance,2,0.25907990314769974
27,uniform,1,0.8075060532687651
27,uniform,2,0.7463680387409201
27,distance,1,0.3196125907990315
27,distance,2,0.2584745762711864
28,uniform,1,0.8069007263922519
28,uniform,2,0.927360774818402
28,distance,1,0.3196125907990315
28,distance,2,0.2584745762711864
29,uniform,1,0.7463680387409201
29,uniform,2,0.8680387409200968
29,distance,1,0.3807506053268765
29,distance,2,0.3196125907990315
30,uniform,1,0.8056900726392252
30,uniform,2,0.9279661016949152
30,distance,1,0.3795399515738499
30,distance,2,0.3196125907990315
31,uniform,1,0.7451573849878934
31,uniform,2,0.9285714285714286
31,distance,1,0.3801452784503632
31,distance,2,0.31900726392251816
32,uniform,1,0.8662227602905569
32,uniform,2,0.9279661016949152
32,distance,1,0.4406779661016949
32,distance,2,0.31840193704600483
33,uniform,1,0.8050847457627118
33,uniform,2,0.9279661016949152
33,distance,1,0.44128329297820823
33,distance,2,0.31840193704600483
34,uniform,1,0.8662227602905569
34,uniform,2,0.927360774818402
34,distance,1,0.4406779661016949
34,distance,2,0.3795399515738499
35,uniform,1,0.8062953995157385
35,uniform,2,0.927360774818402
35,distance,1,0.44128329297820823
35,distance,2,0.3177966101694915
36,uniform,1,0.8050847457627118
36,uniform,2,0.927360774818402
36,distance,1,0.4406779661016949
36,distance,2,0.3795399515738499
37,uniform,1,0.8056900726392252
37,uniform,2,0.927360774818402
37,distance,1,0.4406779661016949
37,distance,2,0.3789346246973366
38,uniform,1,0.927360774818402
38,uniform,2,0.927360774818402
38,distance,1,0.43946731234866826
38,distance,2,0.3795399515738499
39,uniform,1,0.927360774818402
39,uniform,2,0.9279661016949152
39,distance,1,0.5012106537530266
39,distance,2,0.3789346246973366
40,uniform,1,0.927360774818402
40,uniform,2,0.927360774818402
40,distance,1,0.5617433414043583
40,distance,2,0.37832929782082325
41,uniform,1,0.927360774818402
41,uniform,2,0.927360774818402
41,distance,1,0.5617433414043583
41,distance,2,0.37772397094430993
42,uniform,1,0.9267554479418886
42,uniform,2,0.927360774818402
42,distance,1,0.5
42,distance,2,0.37772397094430993
43,uniform,1,0.927360774818402
43,uniform,2,0.927360774818402
43,distance,1,0.5611380145278451
43,distance,2,0.43886198547215494
44,uniform,1,0.9267554479418886
44,uniform,2,0.927360774818402
44,distance,1,0.5611380145278451
44,distance,2,0.37772397094430993
45,uniform,1,0.9267554479418886
45,uniform,2,0.927360774818402
45,distance,1,0.5611380145278451
45,distance,2,0.43886198547215494
46,uniform,1,0.9267554479418886
46,uniform,2,0.927360774818402
46,distance,1,0.6216707021791767
46,distance,2,0.43886198547215494
47,uniform,1,0.9267554479418886
47,uniform,2,0.927360774818402
47,distance,1,0.6222760290556901
47,distance,2,0.43886198547215494
48,uniform,1,0.9267554479418886
48,uniform,2,0.927360774818402
48,distance,1,0.6216707021791767
48,distance,2,0.43886198547215494
49,uniform,1,0.9267554479418886
49,uniform,2,0.927360774818402
49,distance,1,0.6216707021791767
49,distance,2,0.43886198547215494
