n_estimators,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
100,10.25423789024353,0.02760934829711914,1,0.8586853257319066,0.015797090611294338,24,3000,900,2100
100,10.071617364883423,0.02718377113342285,2,0.8678952813196901,0.015529206154571745,24,3000,900,2100
