n_estimators,train_time,inference_time,k,R2_score,RMSE,N,D,n_test,n_train
100,10.054780960083008,0.027663230895996094,1,0.8630487172002125,0.01575383621370333,900,24,900,2100
100,10.154792785644531,0.0276033878326416,2,0.863847053305921,0.015525273024088886,900,24,900,2100
100,10.27641749382019,0.028580188751220703,3,0.8487682827015762,0.016850666495333348,900,24,900,2100
100,10.171454191207886,0.026852846145629883,4,0.8816400395351294,0.013916270853255277,900,24,900,2100
100,10.078179597854614,0.029166221618652344,5,0.8615571445824556,0.01559222191792826,900,24,900,2100
100,9.900508165359497,0.028285503387451172,6,0.8515142651640624,0.016753266632710973,900,24,900,2100
100,10.28081727027893,0.029532909393310547,7,0.838223878326601,0.019841951125812565,900,24,900,2100
