alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
1e-05,3000,0.1260089874267578,0.0017170906066894531,3,0.1340378374533332,3444017.5953387134,10,48193,14458,33735
1e-05,5000,0.14693927764892578,0.00046563148498535156,3,0.13239476748439238,3450552.2479230287,10,48193,14458,33735
0.0001,1000,0.09668874740600586,0.0006263256072998047,4,0.13475350346716441,3426862.198651382,10,48193,14458,33735
0.0001,2000,0.17760848999023438,0.004679203033447266,4,0.13553883620473317,3423751.839831644,10,48193,14458,33735
0.0001,3000,0.1224370002746582,0.0004596710205078125,4,0.13673950647436173,3418996.511059413,10,48193,14458,33735
0.0001,5000,0.1429903507232666,0.00045299530029296875,4,0.1364532846844415,3420130.1101392573,10,48193,14458,33735
1e-05,1000,0.13543248176574707,0.0004646778106689453,4,0.13589419535780056,3422344.4179542125,10,48193,14458,33735
1e-05,2000,0.1636040210723877,0.0004856586456298828,4,0.13630583365381366,3420714.099054596,10,48193,14458,33735
1e-05,3000,0.1834709644317627,0.0004591941833496094,4,0.1382519025054293,3413006.5731526734,10,48193,14458,33735
1e-05,5000,0.12714338302612305,0.002204418182373047,4,0.13619888126706758,3421137.6905891057,10,48193,14458,33735
0.0001,1000,0.10390353202819824,0.00046539306640625,5,0.14298144652126166,3404739.010743135,10,48193,14458,33735
0.0001,2000,0.09318017959594727,0.01757669448852539,5,0.14370826218662403,3401851.538074739,10,48193,14458,33735
0.0001,3000,0.15253543853759766,0.00044155120849609375,5,0.14446710947689734,3398836.811075069,10,48193,14458,33735
0.0001,5000,0.18169665336608887,0.0005803108215332031,5,0.14386777706625742,3401217.821883558,10,48193,14458,33735
1e-05,1000,0.1362922191619873,0.00046896934509277344,5,0.1420086271776695,3408603.7998496126,10,48193,14458,33735
1e-05,2000,0.13076400756835938,0.0004582405090332031,5,0.1420330298977054,3408506.8534153295,10,48193,14458,33735
1e-05,3000,0.11743831634521484,0.0004584789276123047,5,0.14282913743770909,3405344.0999519476,10,48193,14458,33735
1e-05,5000,0.10454320907592773,0.0006301403045654297,5,0.14391838981129113,3401016.74900508,10,48193,14458,33735
0.0001,1000,0.11448073387145996,0.0004534721374511719,6,0.14512694175500152,3372005.5896024443,10,48193,14458,33735
0.0001,2000,0.19388270378112793,0.0005505084991455078,6,0.14482145368511923,3373210.572575372,10,48193,14458,33735
0.0001,3000,0.15523314476013184,0.0004494190216064453,6,0.14400568737046782,3376428.323499072,10,48193,14458,33735
0.0001,5000,0.13425898551940918,0.0004482269287109375,6,0.14636960063483495,3367103.9815234975,10,48193,14458,33735
1e-05,1000,0.16767668724060059,0.00047326087951660156,6,0.14456422296704552,3374225.206749179,10,48193,14458,33735
1e-05,2000,0.13216543197631836,0.0004551410675048828,6,0.14437912293169852,3374955.3249202985,10,48193,14458,33735
1e-05,3000,0.10735893249511719,0.0006084442138671875,6,0.1453742174351298,3371030.2225961694,10,48193,14458,33735
1e-05,5000,0.1493546962738037,0.0005106925964355469,6,0.1458571088902172,3369125.480517774,10,48193,14458,33735
0.0001,1000,0.1348726749420166,0.0004734992980957031,7,0.1320687872832167,3400972.9312803824,10,48193,14458,33735
0.0001,2000,0.1553804874420166,0.0004935264587402344,7,0.12962970558018838,3410530.4293028526,10,48193,14458,33735
