alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
1e-05,2000,0.07191967964172363,0.0006039142608642578,3,0.22850983810508518,0.8021612137771585,10,48193,14458,33735
1e-05,3000,0.10758233070373535,0.0006115436553955078,3,0.22992990350492815,0.8006846928297195,10,48193,14458,33735
1e-05,5000,0.09262299537658691,0.0035293102264404297,3,0.23082384721808125,0.7997552098506625,10,48193,14458,33735
0.0001,1000,0.09088945388793945,0.00044989585876464844,4,0.24002160408058415,0.7817097387660271,10,48193,14458,33735
0.0001,2000,0.07215118408203125,0.0007331371307373047,4,0.23883413433939626,0.7829311638304246,10,48193,14458,33735
0.0001,3000,0.08025240898132324,0.0005614757537841797,4,0.2317852826055895,0.7901815752592499,10,48193,14458,33735
0.0001,5000,0.06761431694030762,0.0006201267242431641,4,0.23657745177070977,0.7852523755263329,10,48193,14458,33735
1e-05,1000,0.07192540168762207,0.0006010532379150391,4,0.23707338845956905,0.7847422576840702,10,48193,14458,33735
1e-05,2000,0.07566714286804199,0.0006117820739746094,4,0.23661045348208387,0.7852184301414171,10,48193,14458,33735
1e-05,3000,0.07610654830932617,0.0012614727020263672,4,0.2378127528955416,0.7839817513549425,10,48193,14458,33735
1e-05,5000,0.07726287841796875,0.0006084442138671875,4,0.23568096156566154,0.78617450058641,10,48193,14458,33735
0.0001,1000,0.07410979270935059,0.000606536865234375,5,0.24359757924944714,0.7925454276576674,10,48193,14458,33735
0.0001,2000,0.07674455642700195,0.0011529922485351562,5,0.24427938614540756,0.7918310421359993,10,48193,14458,33735
0.0001,3000,0.09473443031311035,0.0021200180053710938,5,0.24289022793125037,0.7932865781849597,10,48193,14458,33735
0.0001,5000,0.08968639373779297,0.0006134510040283203,5,0.24499262468685423,0.7910837230775913,10,48193,14458,33735
1e-05,1000,0.06881594657897949,0.0007762908935546875,5,0.24433051558877017,0.7917774695859333,10,48193,14458,33735
1e-05,2000,0.07675647735595703,0.0006072521209716797,5,0.24436205793413746,0.7917444200597648,10,48193,14458,33735
1e-05,3000,0.07704782485961914,0.0007388591766357422,5,0.2452347204588191,0.7908300592977536,10,48193,14458,33735
1e-05,5000,0.05921459197998047,0.0026137828826904297,5,0.24299350345526471,0.7931783678697875,10,48193,14458,33735
0.0001,1000,0.07915544509887695,0.0010082721710205078,6,0.24510050705404707,0.780427481685197,10,48193,14458,33735
0.0001,2000,0.07205963134765625,0.008346080780029297,6,0.24566917620431028,0.7798395821873181,10,48193,14458,33735
0.0001,3000,0.0956110954284668,0.0017147064208984375,6,0.24465260406465894,0.7808905311445142,10,48193,14458,33735
0.0001,5000,0.09266495704650879,0.0006799697875976562,6,0.24250262274983925,0.7831132171032066,10,48193,14458,33735
1e-05,1000,0.11387157440185547,0.0006260871887207031,6,0.24511112550866065,0.7804165041525971,10,48193,14458,33735
1e-05,2000,0.07952356338500977,0.0005929470062255859,6,0.2435255312819924,0.7820557174794789,10,48193,14458,33735
1e-05,3000,0.07467317581176758,0.0037784576416015625,6,0.24561874711549647,0.7798917166067401,10,48193,14458,33735
1e-05,5000,0.07223629951477051,0.0012691020965576172,6,0.24579370959945812,0.779710837520155,10,48193,14458,33735
0.0001,1000,0.09994101524353027,0.0004553794860839844,7,0.23063537052459904,0.7863947029996281,10,48193,14458,33735
0.0001,2000,0.07081127166748047,0.0033686161041259766,7,0.22885027434906657,0.7882193127139334,10,48193,14458,33735
0.0001,3000,0.08977365493774414,0.0018572807312011719,7,0.23109636638265518,0.7859235028859353,10,48193,14458,33735
0.0001,5000,0.08584928512573242,0.0006005764007568359,7,0.22938643631996902,0.7876712826671725,10,48193,14458,33735
1e-05,1000,0.07082819938659668,0.0011959075927734375,7,0.22963280684633425,0.7874194586691796,10,48193,14458,33735
1e-05,2000,0.08168864250183105,0.004043102264404297,7,0.23114114494454663,0.7858777331396662,10,48193,14458,33735
1e-05,3000,0.08223390579223633,0.000606536865234375,7,0.2314224544699317,0.7855901967593976,10,48193,14458,33735
1e-05,5000,0.07032132148742676,0.0006186962127685547,7,0.22949117381501782,0.7875642267821521,10,48193,14458,33735
0.0001,1000,0.07495260238647461,0.003471851348876953,8,0.2381962186823896,0.7872676893988678,10,48193,14458,33735
0.0001,2000,0.07280421257019043,0.0035681724548339844,8,0.23718093665914353,0.7883169080456256,10,48193,14458,33735
0.0001,3000,0.07793736457824707,0.0014545917510986328,8,0.23638123884741102,0.7891433364040819,10,48193,14458,33735
0.0001,5000,0.07601571083068848,0.0029211044311523438,8,0.2358631715767826,0.7896787204926136,10,48193,14458,33735
1e-05,1000,0.06769585609436035,0.0006058216094970703,8,0.23519093968860727,0.7903734222758323,10,48193,14458,33735
1e-05,2000,0.07158446311950684,0.0005967617034912109,8,0.23742850501070878,0.7880610645214994,10,48193,14458,33735
1e-05,3000,0.07149410247802734,0.0006186962127685547,8,0.23357516537147072,0.7920432051575108,10,48193,14458,33735
1e-05,5000,0.07650899887084961,0.0011737346649169922,8,0.23691138734688078,0.7885954672618548,10,48193,14458,33735
0.0001,1000,0.06367015838623047,0.0005977153778076172,9,0.23754490642249249,0.7957727915525629,10,48193,14458,33735
