n_estimators,criterion,max_features,score,f1_score,recall,precision
1,gini,sqrt,0.875,0.8688879859135852,0.8971264367816092,0.8615907901622187
1,gini,log2,0.9090909090909091,0.8971361776738749,0.8908045977011494,0.9047619047619048
1,entropy,sqrt,0.875,0.8688879859135852,0.8971264367816092,0.8615907901622187
1,entropy,log2,0.9090909090909091,0.8971361776738749,0.8908045977011494,0.9047619047619048
10,gini,sqrt,0.9431818181818182,0.9372772630078403,0.9408045977011494,0.9340690435766836
10,gini,log2,0.9318181818181818,0.9228521332554063,0.9160919540229886,0.930952380952381
10,entropy,sqrt,0.9318181818181818,0.9241379310344828,0.9241379310344828,0.9241379310344828
10,entropy,log2,0.9318181818181818,0.9228521332554063,0.9160919540229886,0.930952380952381
20,gini,sqrt,0.9318181818181818,0.9228521332554063,0.9160919540229886,0.930952380952381
20,gini,log2,0.9659090909090909,0.961755758365928,0.9580459770114942,0.9658094681472823
20,entropy,sqrt,0.9318181818181818,0.9228521332554063,0.9160919540229886,0.930952380952381
20,entropy,log2,0.9659090909090909,0.961755758365928,0.9580459770114942,0.9658094681472823
100,gini,sqrt,0.9772727272727273,0.9747126436781609,0.9747126436781609,0.9747126436781609
100,gini,log2,0.9659090909090909,0.9623663578047041,0.9660919540229885,0.9589700056593096
100,entropy,sqrt,0.9772727272727273,0.9747126436781609,0.9747126436781609,0.9747126436781609
100,entropy,log2,0.9659090909090909,0.9623663578047041,0.9660919540229885,0.9589700056593096
200,gini,sqrt,0.9659090909090909,0.9623663578047041,0.9660919540229885,0.9589700056593096
200,gini,log2,0.9545454545454546,0.9494252873563218,0.9494252873563218,0.9494252873563218
200,entropy,sqrt,0.9659090909090909,0.9623663578047041,0.9660919540229885,0.9589700056593096
200,entropy,log2,0.9659090909090909,0.961755758365928,0.9580459770114942,0.9658094681472823
500,gini,sqrt,0.9545454545454546,0.9494252873563218,0.9494252873563218,0.9494252873563218
500,gini,log2,0.9772727272727273,0.9747126436781609,0.9747126436781609,0.9747126436781609
500,entropy,sqrt,0.9545454545454546,0.9494252873563218,0.9494252873563218,0.9494252873563218
500,entropy,log2,0.9772727272727273,0.9747126436781609,0.9747126436781609,0.9747126436781609
1000,gini,sqrt,0.9772727272727273,0.9747126436781609,0.9747126436781609,0.9747126436781609
1000,gini,log2,0.9772727272727273,0.9747126436781609,0.9747126436781609,0.9747126436781609
1000,entropy,sqrt,0.9772727272727273,0.9747126436781609,0.9747126436781609,0.9747126436781609
1000,entropy,log2,0.9772727272727273,0.9747126436781609,0.9747126436781609,0.9747126436781609
