n_neighbors,weights,algorithm,score,f1_score,recall,precision,id
1,uniform,auto,0.875,0.8597711140084021,0.8788706739526411,0.8482142857142857,0
1,uniform,ball_tree,0.875,0.8597711140084021,0.8788706739526411,0.8482142857142857,1
1,uniform,kd_tree,0.875,0.8597711140084021,0.8788706739526411,0.8482142857142857,2
1,uniform,brute,0.875,0.8597711140084021,0.8788706739526411,0.8482142857142857,3
1,distance,auto,0.875,0.8597711140084021,0.8788706739526411,0.8482142857142857,4
1,distance,ball_tree,0.875,0.8597711140084021,0.8788706739526411,0.8482142857142857,5
1,distance,kd_tree,0.875,0.8597711140084021,0.8788706739526411,0.8482142857142857,6
1,distance,brute,0.875,0.8597711140084021,0.8788706739526411,0.8482142857142857,7
2,uniform,auto,0.9090909090909091,0.8882539682539683,0.872495446265938,0.9103678929765886,8
2,uniform,ball_tree,0.8977272727272727,0.875764705882353,0.8642987249544627,0.890625,9
2,uniform,kd_tree,0.9090909090909091,0.8882539682539683,0.872495446265938,0.9103678929765886,10
2,uniform,brute,0.9090909090909091,0.8882539682539683,0.872495446265938,0.9103678929765886,11
2,distance,auto,0.875,0.8545454545454545,0.8582270795385549,0.8511904761904762,12
2,distance,ball_tree,0.875,0.8545454545454545,0.8582270795385549,0.8511904761904762,13
2,distance,kd_tree,0.875,0.8545454545454545,0.8582270795385549,0.8511904761904762,14
2,distance,brute,0.875,0.8545454545454545,0.8582270795385549,0.8511904761904762,15
3,uniform,auto,0.9204545454545454,0.9055069795980979,0.9013357619914997,0.9100496277915633,16
3,uniform,ball_tree,0.9204545454545454,0.9055069795980979,0.9013357619914997,0.9100496277915633,17
3,uniform,kd_tree,0.9204545454545454,0.9055069795980979,0.9013357619914997,0.9100496277915633,18
3,uniform,brute,0.9431818181818182,0.9325049854272127,0.9280510018214936,0.9373449131513648,19
3,distance,auto,0.8863636363636364,0.8690476190476191,0.8767455980570735,0.8626534190531853,20
3,distance,ball_tree,0.8863636363636364,0.8690476190476191,0.8767455980570735,0.8626534190531853,21
3,distance,kd_tree,0.8863636363636364,0.8690476190476191,0.8767455980570735,0.8626534190531853,22
3,distance,brute,0.9090909090909091,0.8952380952380953,0.9034608378870674,0.8883693746347165,23
4,uniform,auto,0.9204545454545454,0.9033725490196078,0.8910139647844566,0.9192708333333333,24
4,uniform,ball_tree,0.9204545454545454,0.9033725490196078,0.8910139647844566,0.9192708333333333,25
4,uniform,kd_tree,0.9204545454545454,0.9033725490196078,0.8910139647844566,0.9192708333333333,26
4,uniform,brute,0.9318181818181818,0.9181141439205955,0.9095324833029751,0.9282539682539683,27
4,distance,auto,0.875,0.8545454545454545,0.8582270795385549,0.8511904761904762,28
4,distance,ball_tree,0.875,0.8545454545454545,0.8582270795385549,0.8511904761904762,29
4,distance,kd_tree,0.875,0.8545454545454545,0.8582270795385549,0.8511904761904762,30
4,distance,brute,0.8863636363636364,0.8690476190476191,0.8767455980570735,0.8626534190531853,31
5,uniform,auto,0.9318181818181818,0.9181141439205955,0.9095324833029751,0.9282539682539683,32
5,uniform,ball_tree,0.9318181818181818,0.9181141439205955,0.9095324833029751,0.9282539682539683,33
5,uniform,kd_tree,0.9318181818181818,0.9181141439205955,0.9095324833029751,0.9282539682539683,34
5,uniform,brute,0.9318181818181818,0.9181141439205955,0.9095324833029751,0.9282539682539683,35
5,distance,auto,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,36
5,distance,ball_tree,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,37
5,distance,kd_tree,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,38
5,distance,brute,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,39
6,uniform,auto,0.9204545454545454,0.9033725490196078,0.8910139647844566,0.9192708333333333,40
6,uniform,ball_tree,0.9204545454545454,0.9033725490196078,0.8910139647844566,0.9192708333333333,41
6,uniform,kd_tree,0.9204545454545454,0.9033725490196078,0.8910139647844566,0.9192708333333333,42
6,uniform,brute,0.9204545454545454,0.9033725490196078,0.8910139647844566,0.9192708333333333,43
6,distance,auto,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,44
6,distance,ball_tree,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,45
6,distance,kd_tree,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,46
6,distance,brute,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,47
7,uniform,auto,0.9204545454545454,0.9055069795980979,0.9013357619914997,0.9100496277915633,48
7,uniform,ball_tree,0.9204545454545454,0.9055069795980979,0.9013357619914997,0.9100496277915633,49
7,uniform,kd_tree,0.9204545454545454,0.9055069795980979,0.9013357619914997,0.9100496277915633,50
7,uniform,brute,0.9204545454545454,0.9055069795980979,0.9013357619914997,0.9100496277915633,51
7,distance,auto,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,52
7,distance,ball_tree,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,53
7,distance,kd_tree,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,54
7,distance,brute,0.8977272727272727,0.8809917355371901,0.8849423193685488,0.8773809523809524,55
8,uniform,auto,0.9204545454545454,0.9055069795980979,0.9013357619914997,0.9100496277915633,56
8,uniform,ball_tree,0.9318181818181818,0.9181141439205955,0.9095324833029751,0.9282539682539683,57
8,uniform,kd_tree,0.9204545454545454,0.9055069795980979,0.9013357619914997,0.9100496277915633,58
