alpha,hidden_layer_sizes,solver,activation,train_time,inference_time,score,accuracy,f1,recall,precision,id
0.001,"(20, 20)",adam,tanh,2.3115830421447754,0.0006885528564453125,0.9204545454545454,0.9204545454545454,0.9186798679867987,0.9173684210526316,0.9202437731849497,0
0.001,"(20, 20)",adam,relu,2.4720263481140137,0.0006222724914550781,0.9090909090909091,0.9090909090909091,0.9067302596714362,0.9042105263157895,0.9102564102564102,1
0.001,"(20, 20)",lbfgs,tanh,0.1422281265258789,0.015551567077636719,0.9204545454545454,0.9204545454545454,0.9186798679867987,0.9173684210526316,0.9202437731849497,2
0.001,"(20, 20)",lbfgs,relu,0.16551756858825684,0.0006191730499267578,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,3
0.001,"(50, 50)",adam,tanh,3.864288330078125,0.0012311935424804688,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,4
0.001,"(50, 50)",adam,relu,3.338019609451294,0.0007548332214355469,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,5
0.001,"(50, 50)",lbfgs,tanh,0.32517218589782715,0.0017549991607666016,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,6
0.001,"(50, 50)",lbfgs,relu,0.2639040946960449,0.0007309913635253906,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,7
0.001,"(100, 100)",adam,tanh,3.846404552459717,0.017399072647094727,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,8
0.001,"(100, 100)",adam,relu,3.5129430294036865,0.010405540466308594,0.9204545454545454,0.9204545454545454,0.9186798679867987,0.9173684210526316,0.9202437731849497,9
0.001,"(100, 100)",lbfgs,tanh,0.5857582092285156,0.019409894943237305,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,10
0.001,"(100, 100)",lbfgs,relu,0.4607200622558594,0.010702848434448242,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,11
0.01,"(20, 20)",adam,tanh,2.4384405612945557,0.0008828639984130859,0.9204545454545454,0.9204545454545454,0.9186798679867987,0.9173684210526316,0.9202437731849497,12
