alpha,hidden_layer_sizes,solver,activation,train_time,inference_time,score,accuracy,f1,recall,precision,id
1.0,"(20, 20)",adam,relu,2.68161678314209,0.0005466938018798828,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,37
1.0,"(20, 20)",lbfgs,tanh,0.6236140727996826,0.0006475448608398438,0.9545454545454546,0.9545454545454546,0.9539508110936683,0.9568421052631579,0.9520833333333334,38
1.0,"(20, 20)",lbfgs,relu,0.911407470703125,0.0006191730499267578,0.9545454545454546,0.9545454545454546,0.9539508110936683,0.9568421052631579,0.9520833333333334,39
1.0,"(50, 50)",adam,tanh,4.162914752960205,0.0010406970977783203,0.9545454545454546,0.9545454545454546,0.9536842105263157,0.9536842105263157,0.9536842105263157,40
1.0,"(50, 50)",adam,relu,4.3184919357299805,0.0007803440093994141,0.9431818181818182,0.9431818181818182,0.9425812345034582,0.9468421052631579,0.9405812143227815,41
1.0,"(50, 50)",lbfgs,tanh,0.9861183166503906,0.0009875297546386719,0.9545454545454546,0.9545454545454546,0.9539508110936683,0.9568421052631579,0.9520833333333334,42
1.0,"(50, 50)",lbfgs,relu,1.3781275749206543,0.0007102489471435547,0.9545454545454546,0.9545454545454546,0.9539508110936683,0.9568421052631579,0.9520833333333334,43
1.0,"(100, 100)",adam,tanh,6.9956042766571045,0.017507314682006836,0.9545454545454546,0.9545454545454546,0.9539508110936683,0.9568421052631579,0.9520833333333334,44
1.0,"(100, 100)",adam,relu,3.554142475128174,0.0012509822845458984,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,45
1.0,"(100, 100)",lbfgs,tanh,2.3407769203186035,0.015734434127807617,0.9545454545454546,0.9545454545454546,0.9539508110936683,0.9568421052631579,0.9520833333333334,46
1.0,"(100, 100)",lbfgs,relu,2.3521580696105957,0.0193479061126709,0.9545454545454546,0.9545454545454546,0.9539508110936683,0.9568421052631579,0.9520833333333334,47
10.0,"(20, 20)",adam,tanh,2.8581438064575195,0.0006353855133056641,0.8977272727272727,0.8977272727272727,0.8961038961038961,0.8973684210526316,0.8950811093668236,48
10.0,"(20, 20)",adam,relu,2.925736427307129,0.0005495548248291016,0.9090909090909091,0.9090909090909091,0.9073684210526316,0.9073684210526316,0.9073684210526316,49
10.0,"(20, 20)",lbfgs,tanh,0.695159912109375,0.0005841255187988281,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,50
10.0,"(20, 20)",lbfgs,relu,0.4082798957824707,0.0005159378051757812,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,51
10.0,"(50, 50)",adam,tanh,4.844460487365723,0.0009198188781738281,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,52
10.0,"(50, 50)",adam,relu,2.7131848335266113,0.0006825923919677734,0.9204545454545454,0.9204545454545454,0.9186798679867987,0.9173684210526316,0.9202437731849497,53
10.0,"(50, 50)",lbfgs,tanh,1.6699464321136475,0.0008523464202880859,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,54
10.0,"(50, 50)",lbfgs,relu,0.9402518272399902,0.024539947509765625,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,55
10.0,"(100, 100)",adam,tanh,5.445683240890503,0.0066869258880615234,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,56
10.0,"(100, 100)",adam,relu,1.8345589637756348,0.008640766143798828,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,57
10.0,"(100, 100)",lbfgs,tanh,3.365147590637207,0.0049877166748046875,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,58
10.0,"(100, 100)",lbfgs,relu,1.23832368850708,0.009103536605834961,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,59
