n_neighbors,weights,algorithm,train_time,inference_time,score,accuracy,f1,recall,precision,id
1,uniform,auto,0.003070831298828125,0.011072158813476562,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,0
1,uniform,ball_tree,0.011076927185058594,0.03940987586975098,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,1
1,uniform,kd_tree,0.0013091564178466797,0.0295870304107666,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,2
1,uniform,brute,0.0007064342498779297,0.025024890899658203,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,3
1,distance,auto,0.0012118816375732422,0.005932807922363281,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,4
1,distance,ball_tree,0.025388717651367188,0.002290487289428711,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,5
1,distance,kd_tree,0.0010843276977539062,0.017513513565063477,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,6
1,distance,brute,0.0006699562072753906,0.00989842414855957,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,7
2,uniform,auto,0.0010383129119873047,0.01983785629272461,0.9659090909090909,0.9659090909090909,0.9645875251509054,0.9626068376068375,0.9668463611859839,8
2,uniform,ball_tree,0.0009877681732177734,0.025638341903686523,0.9659090909090909,0.9659090909090909,0.9645875251509054,0.9626068376068375,0.9668463611859839,9
2,uniform,kd_tree,0.0011303424835205078,0.02408123016357422,0.9659090909090909,0.9659090909090909,0.9645875251509054,0.9626068376068375,0.9668463611859839,10
2,uniform,brute,0.0008518695831298828,0.017991065979003906,0.9659090909090909,0.9659090909090909,0.9645875251509054,0.9626068376068375,0.9668463611859839,11
2,distance,auto,0.0011241436004638672,0.0021631717681884766,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,12
2,distance,ball_tree,0.004389762878417969,0.003742218017578125,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,13
2,distance,kd_tree,0.0011675357818603516,0.009248733520507812,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,14
2,distance,brute,0.0009236335754394531,0.0021948814392089844,0.9545454545454546,0.9545454545454546,0.9529914529914529,0.9529914529914529,0.9529914529914529,15
3,uniform,auto,0.0009505748748779297,0.0434117317199707,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,16
3,uniform,ball_tree,0.005930423736572266,0.02915191650390625,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,17
3,uniform,kd_tree,0.0009961128234863281,0.033590078353881836,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,18
3,uniform,brute,0.0006606578826904297,0.03744339942932129,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,19
3,distance,auto,0.009983539581298828,0.012614965438842773,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,20
3,distance,ball_tree,0.0009403228759765625,0.0019197463989257812,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,21
3,distance,kd_tree,0.001016378402709961,0.002047300338745117,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,22
3,distance,brute,0.0006451606750488281,0.0015103816986083984,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,23
4,uniform,auto,0.0009603500366210938,0.03726363182067871,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,24
4,uniform,ball_tree,0.0010225772857666016,0.03541398048400879,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,25
4,uniform,kd_tree,0.004944562911987305,0.020745515823364258,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,26
4,uniform,brute,0.008341789245605469,0.021967172622680664,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,27
4,distance,auto,0.008509397506713867,0.014332294464111328,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,28
4,distance,ball_tree,0.0009398460388183594,0.022358417510986328,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,29
4,distance,kd_tree,0.0011737346649169922,0.01898503303527832,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,30
4,distance,brute,0.008768081665039062,0.0017745494842529297,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,31
5,uniform,auto,0.0013740062713623047,0.010382652282714844,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,32
5,uniform,ball_tree,0.001226186752319336,0.024462223052978516,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,33
5,uniform,kd_tree,0.0010714530944824219,0.018164873123168945,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,34
5,uniform,brute,0.0006983280181884766,0.01250147819519043,0.9772727272727273,0.9772727272727273,0.9764957264957265,0.9764957264957265,0.9764957264957265,35
