n_estimators,criterion,max_features,score,f1_score,recall,precision,id
1,gini,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,0
1,gini,log2,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,1
1,entropy,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,2
1,entropy,log2,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,3
10,gini,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,4
10,gini,log2,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,5
10,entropy,sqrt,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,6
10,entropy,log2,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,7
20,gini,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,8
20,gini,log2,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,9
20,entropy,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,10
20,entropy,log2,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,11
100,gini,sqrt,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,12
100,gini,log2,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,13
100,entropy,sqrt,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,14
100,entropy,log2,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,15
200,gini,sqrt,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,16
200,gini,log2,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,17
200,entropy,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,18
200,entropy,log2,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,19
500,gini,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,20
500,gini,log2,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,21
500,entropy,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,22
500,entropy,log2,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,23
1000,gini,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,24
1000,gini,log2,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,25
1000,entropy,sqrt,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,26
1000,entropy,log2,0.9772727272727273,0.9760348583877996,0.9818181818181818,0.9714285714285714,27
