n_neighbors,weights,algorithm,score,f1_score,recall,precision,id
1,uniform,auto,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,0
1,uniform,ball_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,1
1,uniform,kd_tree,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,2
1,uniform,brute,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,3
1,distance,auto,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,4
1,distance,ball_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,5
1,distance,kd_tree,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,6
1,distance,brute,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,7
2,uniform,auto,0.9545454545454546,0.950892857142857,0.9454545454545454,0.9575551782682512,8
2,uniform,ball_tree,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,9
2,uniform,kd_tree,0.9545454545454546,0.950892857142857,0.9454545454545454,0.9575551782682512,10
2,uniform,brute,0.9545454545454546,0.950892857142857,0.9454545454545454,0.9575551782682512,11
2,distance,auto,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,12
2,distance,ball_tree,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,13
2,distance,kd_tree,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,14
2,distance,brute,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,15
3,uniform,auto,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,16
3,uniform,ball_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,17
3,uniform,kd_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,18
3,uniform,brute,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,19
3,distance,auto,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,20
3,distance,ball_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,21
3,distance,kd_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,22
3,distance,brute,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,23
4,uniform,auto,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,24
4,uniform,ball_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,25
4,uniform,kd_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,26
4,uniform,brute,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,27
4,distance,auto,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,28
4,distance,ball_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,29
4,distance,kd_tree,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,30
4,distance,brute,0.9659090909090909,0.9638504724085992,0.9666666666666667,0.9613289760348585,31
5,uniform,auto,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,32
5,uniform,ball_tree,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,33
5,uniform,kd_tree,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,34
5,uniform,brute,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,35
5,distance,auto,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,36
5,distance,ball_tree,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,37
5,distance,kd_tree,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,38
5,distance,brute,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,39
6,uniform,auto,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,40
6,uniform,ball_tree,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,41
6,uniform,kd_tree,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,42
6,uniform,brute,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,43
6,distance,auto,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,44
6,distance,ball_tree,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,45
6,distance,kd_tree,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,46
6,distance,brute,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,47
7,uniform,auto,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,48
7,uniform,ball_tree,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,49
7,uniform,kd_tree,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,50
7,uniform,brute,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,51
7,distance,auto,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,52
7,distance,ball_tree,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,53
7,distance,kd_tree,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,54
7,distance,brute,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,55
8,uniform,auto,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,56
